ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,,,,59.864502684314424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.011688700004015118,0.01175639999564737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.15379890002077445,g,4.183764699962921,0.5216626999899745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,,,,59.864502684314424,,,,,,,,,,,,0.05098080000607297,,,,,,0.03948580002179369,4.874802200007252,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.20420869998633862,r,3.394871700031217,5.389377699990291,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,,,,59.864502684314424,,,,,,,,,,,,,4.889973099983763,,,,,,,4.879677799995989,9.002503500028979,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.21841309999581426,g,18.37442499998724,9.518255000002682,,,,,,,,,,,,,,,,,,,,,,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,,,,59.864502684314424,,,,,,,,,,,,,,9.023139600001741,,,,,,,,9.014328100020066,28.11162179999519,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1986386000062339,g,6.0819954999606125,28.611450000025798,,,,,,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,,,,59.864502684314424,,,,,,,,,,,,,,,28.127992400026415,,,,,,,,,28.119723899988458,34.89331569999922,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,37.4752800000133,38.224840499984566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,37.49169160000747,38.25582660001237,35.76117140002316,59.864502684314424,,,35.00353210000321,35.76117140002316,,,34.986380200018175,35.74317830003565,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,35.76117140002316,37.27511390001746,1,right,,0,,,2025.2.4,,,,,35.75476899999194,37.47522580000805,,,35.759646166701955,36.325394799991045,0,0,2026-07-21_13:19:00.560167,0,,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,40.69203179999022,41.59093589999247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,40.70889760000864,41.62525939999614,39.00958830001764,59.864502684314424,,,38.25582660001237,39.00958830001764,,,38.24865650001448,38.991457400028594,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,39.00958830001764,40.525036500010174,1,left,,0,,,2025.2.4,,,,,39.00455750001129,40.69196870003361,,,39.00799886667325,39.758231799991336,1,0,2026-07-21_13:19:03.812462,1,,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,44.090574700036086,44.939650500018615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,44.10680519999005,44.97558800003026,42.39095660002204,59.864502684314424,,,41.62525939999614,42.39095660002204,,,41.618699999991804,42.37355519999983,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,42.39095660002204,43.906367200019304,0,left,,0,,,2025.2.4,,,,,42.37775410001632,44.09051629999885,,,42.390020566647095,42.9403473000275,2,0,2026-07-21_13:19:07.181894,2,,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,47.43878929998027,48.45512589998543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,47.45515400002478,48.492798699997365,45.73925500002224,59.864502684314424,,,44.97558800003026,45.73925500002224,,,44.9687839000253,45.722656500001904,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,45.73925500002224,47.23857340001268,1,right,,0,,,2025.2.4,,,,,45.73246209998615,47.43873860000167,,,45.739105466698916,46.22228330001235,3,0,2026-07-21_13:19:10.532223,3,,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,50.97100680001313,52.020524099993054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-21_13h18.24.447,,TSRlearn_localizer-concepts,2026-07-21 13h18.25.567133 +0200,,,,,,50.987251800019294,52.05870480003068,49.256160699995235,59.864502684314424,,,48.492798699997365,49.256160699995235,,,48.485533600032795,49.23827299999539,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,49.256160699995235,50.77082059998065,0,right,,0,,,2025.2.4,,,,,49.242312300018966,50.97094209998613,,,49.25481466669977,49.887964399997145,4,0,2026-07-21_13:19:14.049434,4,,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
