ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.01416879999851517,0.0142677999992884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.09130740000000515,r,6.564708599998994,0.525733799999216,,,,,,,,,,,,,,,,,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,0.05817319999914616,,,,,,0.05377210000006016,7.244024399999034,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0815338000011252,r,0.4880259000001388,7.756355399998938,,,,,,,,,,,,,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,7.2565967999998975,,,,,,,7.250875599998835,8.326815299998998,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1.147793799998908,r,0.9510970000010275,8.839781599999696,,,,,,,,,,,,,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,,8.356165499999406,,,,,,,,8.342320399999153,9.862431199999264,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40679610000006505,r,1.3244005999986257,10.373792799999137,,,,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,,,,59.82614522211062,,,,,,,,,,,,,,9.889039699999557,,,,,,,,,9.876876499998616,10.576434799999333,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,13.142421999998987,13.907541099999435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,13.15607319999981,13.957469899998614,11.47173969999858,59.82614522211062,,,10.660362199998417,11.47173969999858,,,10.634854199999609,11.412025699999504,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,11.47173969999858,12.972015499999543,1,right,,0,,,2025.2.4,,,,,11.4576176999999,13.14235489999919,,,11.47324356666565,12.039139199998317,0,0,2026-07-31_12:51:37.448572,0,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,16.425002699999823,17.32260529999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,16.438161399999444,17.37347419999969,14.754412199999933,59.82614522211062,,,13.957469899998614,14.754412199999933,,,13.938082299999223,14.707631299999775,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,14.754412199999933,16.253800099999353,1,left,,0,,,2025.2.4,,,,,14.745617099999436,16.424923699998544,,,14.75444150000003,15.48738400000002,1,0,2026-07-31_12:51:40.745680,1,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,19.840053999998418,20.691886499998873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,19.852996299998267,20.75718439999946,18.170218599998407,59.82614522211062,,,17.37347419999969,18.170218599998407,,,17.355560199999672,18.122894499998438,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,18.170218599998407,19.67115339999873,0,left,,0,,,2025.2.4,,,,,18.155852799998684,19.839998399998876,,,18.169480099998328,18.73826679999911,2,0,2026-07-31_12:51:44.161684,2,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,23.23765319999984,24.25499049999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,23.252190599998357,24.32177959999899,21.5707696999998,59.82614522211062,,,20.75718439999946,21.5707696999998,,,20.748238899999706,21.50800789999994,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,21.5707696999998,23.08613139999943,1,right,,0,,,2025.2.4,,,,,21.54854619999969,23.237592999999833,,,21.55476819999858,22.052570799998648,3,0,2026-07-31_12:51:47.545395,3,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,26.791839799998343,27.837238599999182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_12h51.25.059,,TSRlearn_localizer-concepts,2026-07-31 12h51.26.801270 +0200,,,,,,26.800713299999188,27.902445399999124,25.118689599999925,59.82614522211062,,,24.32177959999899,25.118689599999925,,,24.302393999998458,25.071392599998944,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,25.118689599999925,26.617185699999027,0,right,,0,,,2025.2.4,,,,,25.104789199998777,26.791760399999475,,,25.11844739999906,25.75308859999859,4,0,2026-07-31_12:51:51.109990,4,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
