ITI_length,ITI_prc.started,ITI_prc.stopped,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,correct_response,date,expName,expStart,expVersion,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image_prc.started,image_prc.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,key_resp_prc.duration,key_resp_prc.keys,key_resp_prc.rt,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trials_practice.key_resp_prc.duration,trials_practice.key_resp_prc.keys,trials_practice.key_resp_prc.rt,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,,,,59.892684288653776,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,0.0274634999987029,0.02753099999972619,,,,,,,,,,,,,,,,,,,
,,,0.07207329999801004,r,0.8179699000029359,0.5384465999995882,,,,,,,,,,,,,,,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,,,,59.892684288653776,,,,,,0.057050100000196835,,,,,0.04749239999728161,1.4401990000005753,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.06448770000133663,r,1.3700347000012698,1.955125799999223,,,,,,,,,,,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,,,,59.892684288653776,,,,,,,1.455045099999552,,,,,,1.445640399997501,1.9762429000002157,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0640053999995871,r,0.10785430000032648,2.4891188999972655,,,,,,,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,,,,59.892684288653776,,,,,,,,2.003044499997486,,,,,,,1.988745899998321,2.676513200000045,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.06407689999832655,r,0.07284840000284021,3.1876921999974,,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,,,,59.892684288653776,,,,,,,,,2.705501999997068,,,,,,,,2.6851403000000573,3.325415299997985,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,
0.75,5.739423399998486,6.490777799997886,,,,,,,,,,,,,,,,,,y,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,5.753549599998223,6.561361799998849,4.253458600000158,59.892684288653776,3.473803900000348,4.253458600000158,3.4583611999987625,4.224749400000292,anchor.jpg,,,,,,,,,,,,,,,,None,,4.253458600000158,5.753549599998223,1,right,,0,2025.2.4,,,4.232028599999467,5.739376099998481,4.238781866665037,4.803704599999037,0,0,2026-08-05_16:44:36.196638,0,,None,,0,0,0,0,anchor,ancre,Anker,
0.89,8.807348299997102,9.705092899999727,,,,,,,,,,,,,,,,,,r,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,8.821612599997025,9.773864299997513,7.373115599999437,59.892684288653776,6.561361799998849,7.373115599999437,6.537509499998123,7.305934299998626,ant.jpg,,,,,,,,,,,,,,,,None,,7.373115599999437,,1,left,,0,2025.2.4,,,7.347248699999909,8.807294999998703,7.353447799997229,8.087986299997283,1,0,2026-08-05_16:44:39.284196,1,,None,,1,1,0,1,ant,fourmi,Ameise,
0.85,12.225716099997953,13.088780199999746,,,,,,,,,,,,,,,,,,y,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,12.236278000000311,13.15394219999871,10.568920399997296,59.892684288653776,9.773864299997513,10.568920399997296,9.747387899999012,10.5224089000003,axe.jpg,,,,,,,,,,,,,,,,None,,10.568920399997296,12.07264849999774,0,left,,0,2025.2.4,,,10.546677999998792,12.22566679999727,10.553215633332488,11.118885099996987,2,0,2026-08-05_16:44:42.496698,2,,None,,2,2,0,2,horse,cheval,Pferd,
1.01,15.40459120000014,16.420495799997298,,,,,,,,,,,,,,,,,,y,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,15.419764499998564,16.486648099999,13.935121700000309,59.892684288653776,13.15394219999871,13.935121700000309,13.133302499998535,13.903833599997597,bus.jpg,,,,,,,,,,,,,,,,None,,13.935121700000309,,1,right,,0,2025.2.4,,,13.922534999997879,15.404495200000383,13.93482653333243,14.436620999997103,3,0,2026-08-05_16:44:45.876776,3,,None,,3,3,0,3,bus,bus,Bus,
1.04,18.139366399998835,19.187891599998693,,,,,,,,,,,,,,,,,,r,2026-08-05_16h44.31.285,TSRlearn_localizer-concepts,2026-08-05 16h44.32.749385 +0200,,18.149687400000403,19.252209700000094,17.265740599999845,59.892684288653776,16.486648099999,17.265740599999845,16.464757999998255,17.236131800000294,ball.jpg,,,,,,,,,,,,,,,0.16834100000050967,r,0.48349379999854136,17.265740599999845,,0,right,,0,2025.2.4,,,17.25731139999698,18.139257799997722,17.267103933333175,17.899459399999614,4,0,2026-08-05_16:44:49.209482,4,0.16834100000050967,r,0.48349379999854136,4,4,0,4,face,visage,Gesicht,
