ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,0.022452299999713432,0.02251609999802895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.11195329999827663,r,5.059015500002715,0.5359226999971725,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,0.05153179999979329,,,,,,0.04026739999972051,5.720222099997045,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.06393570000000182,r,0.22316900000078022,6.219690699999774,,,,,,,,,,,,,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,5.80056539999714,,,,,,,5.785603099997388,6.519765299999563,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.04809210000166786,r,0.7671895999992557,7.034137799997552,,,,,,,,,,,,,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,,6.549586699999054,,,,,,,,6.529891700000007,7.036905099997966,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05607429999872693,r,0.2681890000021667,7.550713900000119,,,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,,,,59.85712105158719,,,,,,,,,,,,,7.066421600000467,,,,,,,,,7.044719599998643,7.886720200000127,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,10.202341399999568,10.952607899998839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,10.216393899998366,11.002052299998468,8.700277500000084,59.85712105158719,,,7.937753299996984,8.700277500000084,,,7.923679600000469,8.686028500000248,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,None,8.700277500000084,10.19977149999977,1,right,,0,2025.2.4,,,,,8.69214060000013,10.202295399998548,,,8.70029576666663,9.267060199999833,0,0,2026-08-05_16:46:03.951335,0,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,13.25294749999739,14.153416299999662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,13.267198699999426,14.201574399998208,11.765467599998374,59.85712105158719,,,11.002052299998468,11.765467599998374,,,10.978372800000216,11.744804800000566,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,None,11.765467599998374,13.267198699999426,1,left,,0,2025.2.4,,,,,11.756677199999103,13.252901299998484,,,11.77306643333262,12.49931479999941,1,0,2026-08-05_16:46:07.015634,1,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,16.668624300000374,17.533101400000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,16.681778199999826,17.583340499997576,14.964825799997925,59.85712105158719,,,14.201574399998208,14.964825799997925,,,14.184401799997431,14.950868799998716,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,None,14.964825799997925,16.464773499999865,0,left,,0,2025.2.4,,,,,14.954962599997089,16.668558399996982,,,14.964954966664907,15.53115269999762,2,0,2026-08-05_16:46:10.215156,2,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,19.848758299998735,20.86571819999881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,19.863148599997658,20.915231200000562,18.34718679999787,59.85712105158719,,,17.583340499997576,18.34718679999787,,,17.55867009999929,18.333031399997708,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,None,18.34718679999787,19.846518299997115,1,right,,0,2025.2.4,,,,,18.33773789999759,19.848711299997376,,,18.347283066665355,18.830292200000258,3,0,2026-08-05_16:46:13.596922,3,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,23.382025899998553,24.430621199997404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h45.54.927,,TSRlearn_localizer-concepts,2026-08-05 16h45.56.034611 +0200,,,,,23.395826199997828,24.481166399997164,21.679496099997777,59.85712105158719,,,20.915231200000562,21.679496099997777,,,20.899459000000206,21.665140400000382,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,None,21.679496099997777,23.178727999998955,0,right,,0,2025.2.4,,,,,21.668369499999244,23.3819771999988,,,21.679406666666424,22.312433299997792,4,0,2026-08-05_16:46:16.928813,4,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
