subject	block_num	trial_num	component_label	onset	duration	type_of_stimulus	concept_label	concept_examplar	response_time	response	expected_response	wrd_img_match	correct
0	n/a	n/a	instruction_part1	0.06173520000083954	1.3708713999985775	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part2	1.445795800002088	0.7693805999988399	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part3	2.2440366000009817	0.5370349000004353	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_part4	2.8941057000010915	1.086361300000135	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start	40.9003847999993	4.767541299999721	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	n/a	n/a	instruction_start_2	45.696658100001514	n/a	instructions	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	1	image	46.586126900001545	0.762479166664221	image	hammer	hammer_47.jpg	n/a	n/a	n/a	1	n/a
0	1	1	word	47.36527273333243	0.5182132333354588	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
0	1	1	possible_button_press	48.849150500002	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	1	fix_cross_after_trial	48.86370710000119	0.9833885666669318	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	2	image	49.91650160000063	0.7635890666681604	image	hand	hand_50.jpg	n/a	n/a	n/a	1	n/a
0	1	2	word	50.68009066666879	0.49930229999881703	word	Hand_german	n/a	n/a	n/a	n/a	1	n/a
0	1	2	possible_button_press	52.16811990000133	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	2	fix_cross_after_trial	52.181573100002424	0.7809486666667596	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	3	image	53.01865910000197	0.7606156666663679	image	hammer	hammer_37.jpg	n/a	n/a	n/a	1	n/a
0	1	3	word	53.77927476666834	0.5189198000007309	word	Hammer_german	n/a	n/a	n/a	n/a	1	n/a
0	1	3	possible_button_press	55.26743510000233	0.0	response	n/a	n/a	[]	m	m	1	1
0	1	3	fix_cross_after_trial	55.28337649999958	1.0703581666678161	fixation cross	n/a	n/a	n/a	n/a	n/a	n/a	n/a
0	1	4	image	56.43368820000251	0.7496067666654795	image	jacket	jacket_45.jpg	n/a	n/a	n/a	1	n/a
