ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,0.012643800000660121,0.012706199999229284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.10448149999865564,r,0.986734999998589,0.5261878999990586,,,,,,,,,,,,,,,,,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,0.04173380000065663,,,,,,0.03161800000088988,1.6293293999988236,,,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.12008849999983795,r,0.026359699997556163,2.1425745999986248,,,,,,,,,,,,,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,1.6587761000009777,,,,,,,1.6365425000003597,2.294677400001092,,,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.11996260000159964,r,0.30439950000072713,2.8086022999996203,,,,,,,,,,,,,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,,2.3245118000013463,,,,,,,,2.3058098000001337,3.244869899997866,,,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1519162000004144,r,0.2669692000017676,3.7581955999994534,,,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,,,,61.00164704491684,,,,,,,,,,,,,3.274096599998302,,,,,,,,,3.253305599999294,4.18561729999783,,,,,,,,,,,,,,,0,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.5093558999978995,7.258890199998859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,6.524013700000069,7.293975399999908,5.008048899999267,61.00164704491684,,,4.247159599999577,5.008048899999267,,,4.217784600001323,4.993460099998629,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,None,5.008048899999267,6.507250599999679,1,right,,0,2025.2.4,,,,,4.998884000000544,6.50931700000001,,,5.008008366665551,5.574811599999521,0,0,2026-08-05_16:58:14.745491,0,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.558995200000936,10.457676499998342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,9.573387899999943,10.492173999999068,8.073245299998234,61.00164704491684,,,7.293975399999908,8.073245299998234,,,7.281465500000195,8.04270909999832,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,None,8.073245299998234,9.573387899999943,1,left,,0,2025.2.4,,,,,8.067056299998512,9.55894989999797,,,8.073965033331238,8.806581599998026,1,0,2026-08-05_16:58:17.792306,1,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,12.958083800000168,13.80924849999792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,12.972157600001083,13.858363600000303,11.256016600000294,61.00164704491684,,,10.492173999999068,11.256016600000294,,,10.481820199998765,11.241641100001289,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,None,11.256016600000294,12.755762400000094,0,left,,0,2025.2.4,,,,,11.245679200001177,12.958038799999485,,,11.256102366667863,11.82271319999927,2,0,2026-08-05_16:58:20.990505,2,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,16.123394300000655,17.13951029999953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,16.137777500000084,17.190006199998606,14.638060799999948,61.00164704491684,,,13.858363600000303,14.638060799999948,,,13.840135599999485,14.607876899997791,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,None,14.638060799999948,16.137777500000084,1,right,,0,2025.2.4,,,,,14.62735039999825,16.123354700001073,,,14.638723133332437,15.122131000000081,3,0,2026-08-05_16:58:24.356695,3,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,19.6722649000003,20.722856199998205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-05_16h58.09.096,,TSRlearn_localizer-concepts,2026-08-05 16h58.10.509400 +0200,,,,,,19.68666459999804,20.77224809999825,17.953976599997986,61.00164704491684,,,17.190006199998606,17.953976599997986,,,17.17038070000126,17.939315399999032,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,None,17.953976599997986,19.45379359999788,0,right,,0,2025.2.4,,,,,17.942627299999003,19.672220699998434,,,17.953979266665797,18.58707299999878,4,0,2026-08-05_16:58:27.688337,4,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
