ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,,,,61.08157138218501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.029708100002608262,0.02984200000355486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.13032220001332462,r,3.857703899993794,0.5411168999999063,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,,,,61.08157138218501,,,,,,,,,,,0.0887189000059152,,,,,,0.06624359999841545,4.607522999998764,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.11240739999630023,r,0.46157110000785906,5.122468400004436,,,,,,,,,,,,,,,,,,,,,,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,,,,61.08157138218501,,,,,,,,,,,,4.63871189999918,,,,,,,4.615734400009387,5.811478100004024,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1616820000053849,r,0.38222649999079295,6.324139600008493,,,,,,,,,,,,,,,,,,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,,,,61.08157138218501,,,,,,,,,,,,,5.839461000010488,,,,,,,,5.827128200005973,6.877057700010482,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1941802000073949,r,0.21202079999784473,7.389337400003569,,,,,,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,,,,61.08157138218501,,,,,,,,,,,,,,6.905068000007304,,,,,,,,,6.890222800007905,7.808751900010975,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,10.143155400000978,10.895883300006972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,10.158103499998106,10.944097200001124,8.673988200011081,61.08157138218501,,,7.8944928999990225,8.673988200011081,,,7.864247100005741,8.642718000002787,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,8.673988200011081,,1,right,,0,,,2025.2.4,,,,,8.650314700003946,10.14310359999945,,,8.656783266666269,9.22347979999904,0,0,2026-08-06_14:53:26.489802,0,,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,13.212654500006465,14.109519999998156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,13.224335999999312,14.158365800001775,11.739176800008863,61.08157138218501,,,10.944097200001124,11.739176800008863,,,10.931317900001886,11.692644599999767,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,11.739176800008863,,1,left,,0,,,2025.2.4,,,,,11.72306610000669,13.212562000000617,,,11.739461300004042,12.473538100006408,1,0,2026-08-06_14:53:29.539407,1,,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,16.642312500000116,17.493550400002277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,16.65604460000759,17.542742800011183,14.939660500007449,61.08157138218501,,,14.158365800001775,14.939660500007449,,,14.139889800004312,14.909725899997284,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,14.939660500007449,16.44029350001074,0,left,,0,,,2025.2.4,,,,,14.918893100009882,16.642264900001464,,,14.923837066675576,15.490567600005306,2,0,2026-08-06_14:53:32.753675,2,,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,19.795374900000752,20.81185969999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,19.80828170001041,20.87583380000433,18.33969700000307,61.08157138218501,,,17.542742800011183,18.33969700000307,,,17.530705700002727,18.29277300000831,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,18.33969700000307,,1,right,,0,,,2025.2.4,,,,,18.32618060000823,19.79529330000514,,,18.339889300009236,18.82474589999765,3,0,2026-08-06_14:53:36.138052,3,,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,23.341928200010443,24.392138399998657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_14h53.16.749,,TSRlearn_localizer-concepts,2026-08-06 14h53.18.621633 +0200,,,,,,23.356453900007182,24.443416299996898,21.656840399999055,61.08157138218501,,,20.87583380000433,21.656840399999055,,,20.853577500005485,21.626070500002243,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,None,21.656840399999055,23.156246800004737,0,right,,0,,,2025.2.4,,,,,21.636152000006405,23.341858900006628,,,21.639716166672102,22.289801699997042,4,0,2026-08-06_14:53:39.471143,4,,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
