ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.duration,key_resp_prc.keys,key_resp_prc.rt,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.duration,trials_practice.key_resp_prc.keys,trials_practice.key_resp_prc.rt,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.015317199999117292,0.01543400000082329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.1602868999907514,r,1.6655768000055104,0.5321934999956284,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,0.07708299999649171,,,,,,0.059073099997476675,2.3612579999899026,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.06327469999087043,r,0.2771573000063654,2.8613416999869514,,,,,,,,,,,,,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,2.3754699999990407,,,,,,,2.3673244999954477,3.211686299997382,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.127579699998023,r,0.7426097999996273,3.7253615999943577,,,,,,,,,,,,,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,,3.2406976999918697,,,,,,,,3.2332315999956336,3.744517699989956,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12136839999584481,r,0.030810200012638234,4.291435799997998,,,,,,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,,,,60.657748360176235,,,,,,,,,,,,,,3.773829999990994,,,,,,,,,3.7594062999996822,4.4440936999890255,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.793994699997711,7.560278899996774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,6.812048099993262,7.610477599999285,5.307443199999398,60.657748360176235,,,4.527489899992361,5.307443199999398,,,4.4977826999966055,5.2809699999925215,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,5.307443199999398,6.812048099993262,1,right,,0,,,2025.2.4,,,,,5.289701299989247,6.793947599988314,,,5.294363866665905,5.85968629999843,0,0,2026-08-06_16:25:16.725507,0,,,,,,,,,,,,,None,,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.875833300000522,10.780064899998251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,9.892362799990224,10.826173099994776,8.389503200000036,60.657748360176235,,,7.610477599999285,8.389503200000036,,,7.595636199999717,8.360081999999238,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,8.389503200000036,9.892362799990224,1,left,,0,,,2025.2.4,,,,,8.370175599993672,9.875777499997639,,,8.374057066659832,9.107006699996418,1,0,2026-08-06_16:25:19.808495,1,,,,,,,,,,,,,None,,1,1,0,1,ant,fourmi,Ameise,
,,0.85,13.308793099989998,14.160221399986767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,13.322289599993383,14.225604999999632,11.60537399999157,60.657748360176235,,,10.826173099994776,11.60537399999157,,,10.815481699988595,11.577814299991587,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,11.60537399999157,13.105496499993023,0,left,,0,,,2025.2.4,,,,,11.583768899989082,13.308731400000397,,,11.591369966660084,12.157608599998639,2,0,2026-08-06_16:25:23.024191,2,,,,,,,,,,,,,None,,2,2,0,2,horse,cheval,Pferd,
,,1.01,16.491683399988688,17.50702019999153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,16.504682699989644,17.55934769999294,15.006119499987108,60.657748360176235,,,14.225604999999632,15.006119499987108,,,14.203429999994114,14.978190099995118,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,15.006119499987108,16.504682699989644,1,right,,0,,,2025.2.4,,,,,14.984471799994935,16.491631400000188,,,14.991128566664218,15.489311999990605,3,0,2026-08-06_16:25:26.423623,3,,,,,,,,,,,,,None,,3,3,0,3,bus,bus,Bus,
,,1.04,20.042230399994878,21.089418199990178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-06_16h25.10.644,,TSRlearn_localizer-concepts,2026-08-06 16h25.12.210154 +0200,,,,,,20.054045400000177,21.139071699988563,18.323483100000885,60.657748360176235,,,17.55934769999294,18.323483100000885,,,17.545409199999995,18.306946999990032,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,18.323483100000885,19.836886699995375,0,right,,0,,,2025.2.4,,,,,18.311840199996368,20.042150699999183,,,18.32080956666711,18.953575499996077,4,0,2026-08-06_16:25:29.757365,4,,,,,,,,,,,,,None,,4,4,0,4,face,visage,Gesicht,
