ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,0.02598610002314672,0.026288900000508875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.10785070003475994,r,0.6961764000006951,0.5379362000385299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,0.055220400041434914,,,,,,0.04843830002937466,1.3567152000032365,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.13970589998643845,r,0.07220990001223981,1.8711624000570737,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,1.371297100035008,,,,,,,1.360988800006453,2.090040700044483,,,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1509640000294894,r,0.15376800001831725,2.60414450004464,,,,,,,,,,,,,,,,,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,,2.1031560000265017,,,,,,,,2.0991994000505656,2.921848200028762,,,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3630657999892719,r,0.746440100017935,3.4199268000083975,,,,,,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,,,,60.01601227522506,,,,,,,,,,,,,,,2.9365896000526845,,,,,,,,,2.928142100048717,3.7223685000208206,,,,,,,,,,,,,,,,,,,,0,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.122081200010143,6.870945400034543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,6.136448200035375,6.904169700050261,4.653156900021713,60.01601227522506,,,3.8623615000396967,4.653156900021713,,,3.827743300003931,4.605664000031538,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,4.653156900021713,,1,right,,0,,,2025.2.4,,,,,,4.636935900023673,6.122042900009546,,,,,4.653473700000904,5.219968700024765,0,0,2026-08-24_21:21:30.296561,0,,,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.170304300030693,10.069839800009504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,9.18586080003297,10.103137300000526,7.670503800036386,60.01601227522506,,,6.904169700050261,7.670503800036386,,,6.897089700039942,7.6546866000280716,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,7.670503800036386,9.18586080003297,1,left,,0,,,2025.2.4,,,,,,7.663750500010792,9.170268800051417,,,,,7.669267766705404,8.402338000014424,1,0,2026-08-24_21:21:33.338369,1,,,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,12.569401000044309,13.419629200012423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,12.583994800050277,13.468875000020489,10.86791670002276,60.01601227522506,,,10.103137300000526,10.86791670002276,,,10.094452700053807,10.853519700001925,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,10.86791670002276,12.367391400039196,0,left,,0,,,2025.2.4,,,,,,10.862086500041187,12.56936260004295,,,,,10.868407266684033,11.817647900024895,2,0,2026-08-24_21:21:36.537336,2,,,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,15.73666570003843,16.75243680004496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,15.750414700014517,16.80104560003383,14.233718700008467,60.01601227522506,,,13.468875000020489,14.233718700008467,,,13.449343400017824,14.219291500048712,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,14.233718700008467,15.734242300037295,1,right,,0,,,2025.2.4,,,,,,14.223113000043668,15.73662790004164,,,,,14.233807066692195,15.08314280002378,3,0,2026-08-24_21:21:39.903074,3,,,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,19.267324300017208,20.316699200018775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-24_21h21.25.115,,TSRlearn_localizer-concepts,2026-08-24 21h21.26.458819 +0200,,,,,19.28172500000801,20.368153000017628,17.566279500024393,60.01601227522506,,,16.80104560003383,17.566279500024393,,,16.78669690003153,17.537150100048166,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,17.566279500024393,19.082576900022104,0,right,,0,,,2025.2.4,,,,,,17.547800200001802,19.267268300056458,,,,,17.55181466672026,18.201231500017457,4,0,2026-08-24_21:21:43.235245,4,,,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
