block,trial_in_block,trial_type,is_buffer,show_word,concept,concept_num,concept_num_word,exemplar_num,image_shown,word_shown_english,word_shown_german,word_shown_french,is_prompt,is_mismatch,ITI_length,correct_response,nonmatch_pres_side,source_sequence,source_sequence_position,ITI_length_raw,block_raw,concept_num_raw,concept_num_word_raw,concept_raw,continue_button_break.duration_raw,continue_button_break.keys_raw,continue_button_break.rt_raw,correct_response_raw,exemplar_num_raw,image_shown_raw,is_buffer_raw,is_mismatch_raw,is_prompt_raw,key_resp.duration_raw,key_resp.keys_raw,key_resp.rt_raw,nonmatch_pres_side_raw,show_word_raw,source_sequence_position_raw,source_sequence_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,trial_in_block_raw,trial_type_raw,word_shown_english_raw,word_shown_french_raw,word_shown_german_raw
1,1,localizer,0,1,hammer,7,7,46,hammer\hammer_46.jpg,hammer,Hammer,Marteau,1,0,1.14,None,None,None,None,1.14,1,7,7,hammer,nan,,nan,,46,hammer\hammer_46.jpg,0,0,1,nan,,nan,,1,,,0,0,0,1,localizer,hammer,Marteau,Hammer
1,2,localizer,0,1,hand,8,2,46,hand\hand_46.jpg,bicycle,Fahrrad,Vélo,1,1,1.12,r,left,None,None,1.12,1,8,2,hand,nan,,nan,r,46,hand\hand_46.jpg,0,1,1,nan,,nan,left,1,,,1,0,1,2,localizer,bicycle,Vélo,Fahrrad
1,3,localizer,0,1,jacket,10,10,10,jacket\jacket_10.jpg,jacket,Jacke,Veste,1,0,1.01,None,None,None,None,1.01,1,10,10,jacket,nan,,nan,,10,jacket\jacket_10.jpg,0,0,1,nan,,nan,,1,,,2,0,2,3,localizer,jacket,Veste,Jacke
1,4,localizer,0,1,flower,6,6,1,flower\flower_01.jpg,flower,Blume,Fleur,1,0,1.11,None,None,None,None,1.11,1,6,6,flower,nan,,nan,,1,flower\flower_01.jpg,0,0,1,nan,,nan,,1,,,3,0,3,4,localizer,flower,Fleur,Blume
1,5,localizer,0,1,house,9,9,1,house\house_01.jpg,house,Haus,Maison,1,0,1.16,None,None,None,None,1.16,1,9,9,house,nan,,nan,,1,house\house_01.jpg,0,0,1,nan,,nan,,1,,,4,0,4,5,localizer,house,Maison,Haus
1,6,localizer,0,1,ball,1,1,1,ball\ball_01.jpg,ball,Ball,Ballon,1,0,1.11,None,None,None,None,1.11,1,1,1,ball,nan,,nan,,1,ball\ball_01.jpg,0,0,1,nan,,nan,,1,,,5,0,5,6,localizer,ball,Ballon,Ball
1,7,localizer,0,1,bread,3,3,15,bread\bread_15.jpg,bread,Brot,Pain,1,0,0.98,None,None,None,None,0.98,1,3,3,bread,nan,,nan,,15,bread\bread_15.jpg,0,0,1,nan,,nan,,1,,,6,0,6,7,localizer,bread,Pain,Brot
1,8,localizer,0,1,bicycle,2,2,23,bicycle\bicycle_23.jpg,bicycle,Fahrrad,Vélo,1,0,0.81,None,None,None,None,0.81,1,2,2,bicycle,nan,,nan,,23,bicycle\bicycle_23.jpg,0,0,1,nan,,nan,,1,,,7,0,7,8,localizer,bicycle,Vélo,Fahrrad
1,9,localizer,0,1,hand,8,8,12,hand\hand_12.jpg,hand,Hand,Main,1,0,0.84,None,None,None,None,0.84,1,8,8,hand,nan,,nan,,12,hand\hand_12.jpg,0,0,1,28.693039800040424,r,0.8561594999628142,,1,,,8,0,8,9,localizer,hand,Main,Hand
1,10,localizer,0,1,chair,4,4,14,chair\chair_14.jpg,chair,Stuhl,Chaise,1,0,0.78,None,None,None,None,0.78,1,4,4,chair,nan,,nan,,14,chair\chair_14.jpg,0,0,1,nan,,nan,,1,,,9,0,9,10,localizer,chair,Chaise,Stuhl
1,11,localizer,0,1,hammer,7,3,40,hammer\hammer_40.jpg,bread,Brot,Pain,1,1,0.8,r,right,None,None,0.8,1,7,3,hammer,nan,,nan,r,40,hammer\hammer_40.jpg,0,1,1,7.292607299983501,r,0.578583599999547,right,1,,,10,0,10,11,localizer,bread,Pain,Brot
