subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	response_time	response	response_meaning	expected_response	correct	distance_correct
n/a	instruction	n/a	n/a	n/a	n/a	instruction_part1	n/a	n/a	0.026365900004748255	3.2162952999933623	instruction_text	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	1	current_image	car/car_36.jpg	car/car_36.jpg	114.87344110000413	0.15068640001118183	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	1	corr_next_image	fish/fish_19.jpg	fish/fish_19.jpg	114.87344110000413	0.1506908000446856	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	1	distractor 01 (close)	flower/flower_07.jpg	flower/flower_07.jpg	114.87344110000413	0.15069440001389012	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	1	distractor 02 (far)	hand/hand_38.jpg	hand/hand_38.jpg	114.87344110000413	0.1506976000382565	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	1	n/a	n/a	n/a	115.02414740005042	0.0	choice	0.05768150003859773	b	target	right	True	n/a
n/a	learn	1.0	A	1	1	correct_moving	n/a	n/a	115.10624460002873	0.9510046999785118	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	2	current_image	fish/fish_19.jpg	fish/fish_19.jpg	116.17336490005255	0.5333268999820575	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	2	corr_next_image	ball/ball_37.jpg	ball/ball_37.jpg	116.17336490005255	0.533332499966491	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	2	distractor 01 (close)	bread/bread_04.jpg	bread/bread_04.jpg	116.17336490005255	0.5333367999992333	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	2	distractor 02 (far)	jacket/jacket_29.jpg	jacket/jacket_29.jpg	116.17336490005255	0.5333407999714836	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	2	n/a	n/a	n/a	116.70671759999823	0.0	choice	0.42903780000051484	g	distractor_01	right	False	n/a
n/a	learn	1.0	A	1	2	correct_moving	n/a	n/a	116.80592330003856	0.9503388999728486	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	3	current_image	ball/ball_37.jpg	ball/ball_37.jpg	117.83867920003831	4.937635199981742	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	3	corr_next_image	house/house_30.jpg	house/house_30.jpg	117.83867920003831	4.93764179997379	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	3	distractor 01 (close)	hammer/hammer_35.jpg	hammer/hammer_35.jpg	117.83867920003831	4.937647100014146	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	3	distractor 02 (far)	guitar/guitar_22.jpg	guitar/guitar_22.jpg	117.83867920003831	4.937651799991727	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	3	n/a	n/a	n/a	122.77634130005026	0.0	choice	[]	m	n/a	center	n/a	n/a
n/a	learn	1.0	A	1	3	correct_moving	n/a	n/a	122.84414760000072	0.981069200031925	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	4	current_image	house/house_30.jpg	house/house_30.jpg	124.44888690003427	4.899327699968126	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	4	corr_next_image	bread/bread_04.jpg	bread/bread_04.jpg	124.44888690003427	4.899335199967027	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	4	distractor 01 (close)	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	124.44888690003427	4.899340600008145	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	4	distractor 02 (far)	chair/chair_21.jpg	chair/chair_21.jpg	124.44888690003427	4.899346899997909	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	4	n/a	n/a	n/a	129.34824570000637	0.0	choice	[]	m	n/a	center	n/a	n/a
n/a	learn	1.0	A	1	4	correct_moving	n/a	n/a	129.4695055000484	1.086686099995859	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	5	current_image	bread/bread_04.jpg	bread/bread_04.jpg	131.22395110002253	4.851483899983577	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	5	corr_next_image	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	131.22395110002253	4.85149079997791	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	5	distractor 01 (close)	dog/dog_36.jpg	dog/dog_36.jpg	131.22395110002253	4.851496200019028	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	5	distractor 02 (far)	key/key_28.jpg	key/key_28.jpg	131.22395110002253	4.85150099999737	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	5	n/a	n/a	n/a	136.07546200003708	0.0	choice	[]	m	n/a	left	n/a	n/a
n/a	learn	1.0	A	1	5	correct_moving	n/a	n/a	136.2428995000082	1.0089138000039384	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	6	current_image	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	137.88267740001902	0.7514771000132896	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	6	corr_next_image	flower/flower_07.jpg	flower/flower_07.jpg	137.88267740001902	0.7514872000319883	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	6	distractor 01 (close)	hand/hand_38.jpg	hand/hand_38.jpg	137.88267740001902	0.751496099983342	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	6	distractor 02 (far)	fish/fish_19.jpg	fish/fish_19.jpg	137.88267740001902	0.7515030999784358	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	6	n/a	n/a	n/a	138.63419710000744	0.0	choice	0.6759412999963388	g	distractor_01	center	False	n/a
n/a	learn	1.0	A	1	6	correct_moving	n/a	n/a	138.74915340001462	0.9834733000025153	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	7	current_image	flower/flower_07.jpg	flower/flower_07.jpg	139.84854040003847	4.891610699996818	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	7	corr_next_image	jacket/jacket_29.jpg	jacket/jacket_29.jpg	139.84854040003847	4.891617099987343	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	7	distractor 01 (close)	hammer/hammer_35.jpg	hammer/hammer_35.jpg	139.84854040003847	4.891621899965685	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	7	distractor 02 (far)	house/house_30.jpg	house/house_30.jpg	139.84854040003847	4.891626600001473	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	7	n/a	n/a	n/a	144.74018050002633	0.0	choice	[]	m	n/a	right	n/a	n/a
n/a	learn	1.0	A	1	7	correct_moving	n/a	n/a	144.83224750001682	0.9540713999886066	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	8	current_image	jacket/jacket_29.jpg	jacket/jacket_29.jpg	146.39956800005166	4.898797099944204	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	8	corr_next_image	chair/chair_21.jpg	chair/chair_21.jpg	146.39956800005166	4.89880559995072	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	8	distractor 01 (close)	car/car_36.jpg	car/car_36.jpg	146.39956800005166	4.898811699997168	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	8	distractor 02 (far)	bicycle/bicycle_49.jpg	bicycle/bicycle_49.jpg	146.39956800005166	4.89881789998617	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	8	n/a	n/a	n/a	151.29841760004638	0.0	choice	[]	m	n/a	center	n/a	n/a
n/a	learn	1.0	A	1	8	correct_moving	n/a	n/a	151.41144050000003	0.9838829000364058	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	9	current_image	chair/chair_21.jpg	chair/chair_21.jpg	152.99446499999613	4.9058892000466585	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	9	corr_next_image	dog/dog_36.jpg	dog/dog_36.jpg	152.99446499999613	4.9058958000387065	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	9	distractor 01 (close)	ball/ball_37.jpg	ball/ball_37.jpg	152.99446499999613	4.905901100020856	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	9	distractor 02 (far)	flower/flower_07.jpg	flower/flower_07.jpg	152.99446499999613	4.9059061000007205	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	9	n/a	n/a	n/a	157.9003813000163	0.0	choice	[]	m	n/a	right	n/a	n/a
n/a	learn	1.0	A	1	9	correct_moving	n/a	n/a	157.9932757000206	0.9399061999865808	feedback	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	10	current_image	dog/dog_36.jpg	dog/dog_36.jpg	159.5200513000018	4.929040600021835	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	10	corr_next_image	hammer/hammer_35.jpg	hammer/hammer_35.jpg	159.5200513000018	4.929048900026828	image	n/a	n/a	n/a	n/a	n/a	n/a
n/a	learn	1.0	A	1	10	distractor 01 (close)	car/car_36.jpg	car/car_36.jpg	159.5200513000018	4.9290547000127845	image	n/a	n/a	n/a	n/a	n/a	n/a
