promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	condFileLearning	condFileRetrieval	n_routes_block	block	learningSeq	runIndexWithinSeq	currPosInSeq	promptConcept	correctConcept	dist01Concept	dist02Concept	dist01_diff	dist02_diff	pairTargetPosInSeq	promptTrigNumber	correctTrigNumber	dist01TrigNumber	dist02TrigNumber	key_resp.keys	key_resp.rt	key_resp.duration	miniblockWithinRun	is_yes	routeIndexWithinBlock	seqOfRoute	retrIm1Trig	retrIm2Trig	continue_button_18.keys	resp.keys	resp_4.keys	resp_4.rt	resp_4.duration	resp.rt	resp.duration	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	Block.thisRepN	Block.thisTrialN	Block.thisN	Block.thisIndex	miniblocks.thisRepN	miniblocks.thisTrialN	miniblocks.thisN	miniblocks.thisIndex	learning_trials.thisRepN	learning_trials.thisTrialN	learning_trials.thisN	learning_trials.thisIndex	retrieval_trials.thisRepN	retrieval_trials.thisTrialN	retrieval_trials.thisN	retrieval_trials.thisIndex	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retry_loop.resp_3.rt	retry_loop.resp_3.duration	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	textbox_feedback.started	textbox_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	mask_img2.stopped	info_example_6.stopped	instructions_07.started	instructions_part7.started	continue_button_13.started	instructions_07.stopped	continue_button_13.keys	continue_button_13.rt	continue_button_13.duration	instructions_08.started	instructions_part8.started	continue_button_17.started	instructions_08.stopped	continue_button_17.keys	continue_button_17.rt	continue_button_17.duration	reset_rows_to_select.started	reset_rows_to_select.stopped	set_learning_rows.started	set_learning_rows.stopped	choice_display.started	background_texture.started	polygon_4.started	prompt.started	dist_01.started	dist_02.started	correct.started	chooseNowText.started	key_resp.started	choice_display.stopped	learning_trials.key_resp.keys	feedback.started	background_texture_2.started	polygon_8.started	prompt_2.started	dist_01_2.started	dist_02_2.started	correct_2.started	feedback.stopped	too_slow_routine.started	tooSlowtext.started	tooSlowtext.stopped	too_slow_routine.stopped	learning_trials.key_resp.rt	learning_trials.key_resp.duration	rest_period.started	fix_cross.started	fix_cross.stopped	rest_period.stopped	instruction_retr_start.started	instruction_now_retr.started	continue_button_18.started	instruction_retr_start.stopped	miniblocks.continue_button_18.keys	set_retrieval_rows.started	set_retrieval_rows.stopped	retr_ITI.started	fix_cross_retrbegin_2.started	fix_cross_retrbegin_2.stopped	retr_ITI.stopped	first_image.started	background_texture_3.started	image_1.started	background_texture_3.stopped	image_1.stopped	first_image.stopped	mask_retr1.started	background_texture_4.started	mask_img1_2.started	mask_retr1.stopped	second_image.started	background_texture_5.started	image_2.started	background_texture_5.stopped	image_2.stopped	second_image.stopped	mask_retr2.started	background_texture_6.started	mask_img2_2.started	background_texture_6.stopped	mask_img2_2.stopped	mask_retr2.stopped	reflection_period_retr.started	background_texture_7.started	fix_cross_reflretr.started	background_texture_7.stopped	fix_cross_reflretr.stopped	reflection_period_retr.stopped	retr_response_order.started	background_texture_8.started	polygon_6.started	yes_txt.started	no_txt.started	chooseNowText_2.started	resp.started	retr_response_order.stopped	retrieval_trials.resp.keys	too_slow_routine_1.started	tooSlowtext_4.started	tooSlowtext_4.stopped	too_slow_routine_1.stopped	retr_response_distance.started	background_texture_9.started	chooseNowText_3.started	opt_2.started	opt_3.started	opt_4.started	opt_5.started	resp_4.started	retr_response_distance.stopped	retrieval_trials.resp_4.keys	retrieval_trials.resp_4.rt	retrieval_trials.resp_4.duration	too_slow_routine_2.started	too_slow_routine_2.stopped	retrieval_trials.resp.rt	retrieval_trials.resp.duration	background_texture_4.stopped	mask_img1_2.stopped	background_texture_9.stopped	chooseNowText_3.stopped	opt_2.stopped	opt_3.stopped	opt_4.stopped	opt_5.stopped	resp_4.stopped	tooSlowtext_2.started	tooSlowtext_2.stopped	background_texture_8.stopped	yes_txt.stopped	no_txt.stopped	resp.stopped	retr_task_break.started	retr_task_break.stopped	instructions_new_learn.started	instruction_text_newroute.started	instruction_text_newroute.stopped	instructions_new_learn.stopped	instruction_now_retr.stopped	continue_button_18.stopped	break_instruction.started	break_instruction.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
																																																																																												0.011170799960382283	0.011249299976043403																																																																																																																																																																																																																																																																																																																			0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																														0.0223573999828659	0.040618899976834655	3.0243073999881744	3.0760336999665014	g	0.050517599971499294	None																																																																																																																																																																																																																																																																																																												0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																					3.0860422999830917	3.0908772999537177	6.0905614999937825	6.227409699989948	b	0.12755199999082834	None																																																																																																																																																																																																																																																																																																					0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																												6.235794899985194	6.2564781999681145	9.242537399986759	26.336380399996415	r	17.075989500037394	None																																																																																																																																																																																																																																																																																														0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																			26.344508399954066	26.349178799951915	29.34850289998576	29.45084239996504	r	0.0952271000132896	None																																																																																																																																																																																																																																																																																							0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																										29.457713199954014	29.465050499944482	32.46552019997034	32.66833839996252	r	0.19932349998271093	None																																																																																																																																																																																																																																																																																0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																	32.67639789998066	32.68057309999131	35.6804395999643	36.19800829997985	r	0.5095512999687344	None																																																																																																																																																																																																																																																																									0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/anchor.jpg	stimuli/practice_images/cow.jpg	stimuli/practice_images/bread.jpg	stimuli/practice_images/plane.jpg	right	left	center	right	0	0	0	r	0.5095512999687344	0.3941977000213228																																																	0	0	0	0																									36.32970059994841																																														36.295752199948765	36.32970059994841	36.32970059994841	36.32970059994841	36.32970059994841	36.32970059994841	0.09776249999413267	36.32970059994841	36.61567049997393	r	0.5095512999687344	0.3941977000213228	36.70299449999584	36.72242789994925	36.72242789994925	36.72242789994925	36.72242789994925	36.72242789994925	37.66550279996591																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/cow.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/banana.jpg	stimuli/practice_images/glasses.jpg	left	right	center	left	1	1	0	b	0.14148849999764934	None																																																	0	1	1	1																									37.768053399981																																														37.7497660999652	37.768053399981	37.768053399981	37.768053399981	37.768053399981	37.768053399981	0.08435020002070814	37.768053399981	38.01746209996054	b	0.14148849999764934	None	38.10891659994377	38.13395229994785	38.13395229994785	38.13395229994785	38.13395229994785	38.13395229994785	39.08121179998852																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/ant.jpg	stimuli/practice_images/basket.jpg	stimuli/practice_images/axe.jpg	stimuli/practice_images/duck.jpg	center	left	right	up	2	2	0	g	0.10461720003513619	None																																																	0	2	2	2																									39.18273059994681																																														39.17150349996518	39.18273059994681	39.18273059994681	39.18273059994681	39.18273059994681	39.18273059994681	0.09038469998631626	39.18273059994681	39.39815449999878	g	0.10461720003513619	None	39.48833879997255	39.49989099998493	39.49989099998493	39.49989099998493	39.49989099998493	39.49989099998493	40.4979469999671																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/basket.jpg	stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/bread.jpg	center	right	left	up	3	3	0	b	0.08247229998232797	None																																																	0	3	3	3																									40.61603039997863																																														40.59109459997853	40.61603039997863	40.61603039997863	40.61603039997863	40.61603039997863	40.61603039997863	0.09326370002236217	40.61603039997863	40.781591599981766	b	0.08247229998232797	None	40.86918819998391	40.88352959998883	40.88352959998883	40.88352959998883	40.88352959998883	40.88352959998883	41.88092059997143																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/anchor.jpg	stimuli/practice_images/desk.jpg	left	center	right	left	4	4	0	g	0.05026639997959137	None																																																	0	4	4	4																									41.98393109999597																																														41.96611189999385	41.98393109999597	41.98393109999597	41.98393109999597	41.98393109999597	41.98393109999597	0.08525960001861677	41.98393109999597	42.1474713999778	g	0.05026639997959137	None	42.23401969997212	42.249852899985854	42.249852899985854	42.249852899985854	42.249852899985854	42.249852899985854	43.19815109996125																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
stimuli/practice_images/belt.jpg	stimuli/practice_images/bird.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/crocodile.jpg	right	left	center	right	5	5	0	g	0.2854721999610774	None																																																	0	5	5	5																									43.29838419996668																																														43.28384229994845	43.29838419996668	43.29838419996668	43.29838419996668	43.29838419996668	43.29838419996668	0.08582189999287948	43.29838419996668	43.68040789995575	g	0.2854721999610774	None	43.76646959997015	43.78175819996977	43.78175819996977	43.78175819996977	43.78175819996977	43.78175819996977	44.73056059994269																																																																																																																																																																																																																																																						0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																											44.73709609999787	44.74385509995045	47.74309229996288	47.82865089998813	g	0.07323079998604953	None																																																																																																																																																																																																																																															0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																																		47.83843019994674	47.8424296999583	50.84205779997865	50.99528829997871	g	0.13928109995322302	None																																																																																																																																																																																																																																								0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																																									51.00606179999886	51.02607809996698	54.008755399961956	54.81052809994435	g	0.7915213999804109	None																																																																																																																																																																																																																																	0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																																																54.820846599992365	54.84003539994592	57.82322119997116	58.02662069996586	g	0.19921380002051592	None																																																																																																																																																																																																																										0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																																																							58.03688109997893	58.05661119997967	58.53967209998518	58.774631699954625	g	0.22776769998017699	None																																																																																																																																																																																																																			0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
																																																																																																																																																																																														58.780383999983314	58.79060169996228	59.28941709996434	59.3757013999857	g	0.07430489995749667	None																																																																																																																																																																																																												0	2026-07-26_20h00.33.820	TSRlearn_main-blocks		2025.1.1	60.53902740190511	2026-07-26 20h00.42.798974 +0200	
