ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.keys,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trials.continue_button_break.keys,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2025.2.4,0.024152299996785587,0.0242454999970505,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.05926050000198302,r,1.608116199997312,0.536200499998813,,,,,,,,,,,,,,,,,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,0.06817959999898449,,,,,,0.04593819999718107,2.2051600999984657,,,,,,,,,,,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.07729489999837824,r,2.1630396000000474,2.718761000000086,,,,,,,,,,,,,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,2.224151999998867,,,,,,,2.2109045999968657,2.7896062999971036,,,,,,,,,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.09178159999646596,r,0.5755820000013046,3.333939099997224,,,,,,,,,,,,,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,,2.8177770000002056,,,,,,,,2.80659039999955,3.388426800000161,,,,,,,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0875503999995999,r,0.0026585000014165416,3.8848197999977856,,,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,,,,None,,,,,,,,,,,,,3.4176105999977153,,,,,,,,,3.3965943999974115,3.992205999998987,,,,,,,,,,,,,,,1,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.53756710000016,7.286236099997041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,6.551032899998972,7.33755519999977,4.818329999998241,None,,,4.055128299998614,4.818329999998241,,,4.038451599997643,4.803989399999409,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,None,4.818329999998241,6.318350099998497,1,right,,1,2025.2.4,,,,,4.810836999997264,6.5374822999983735,4.817824066664131,5.384907099996781,0,0,2026-07-31_15:45:26.230924,0,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.802942999998777,10.70329219999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,9.817102399996656,10.771014599999035,8.116439899997204,None,,,7.33755519999977,8.116439899997204,,,7.318049099998461,8.08646669999871,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,None,8.116439899997204,9.617246499998146,1,left,,1,2025.2.4,,,,,8.095474099998683,9.802879399998346,8.100217566665622,8.833378999999695,1,0,2026-07-31_15:45:29.513351,1,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,13.236132999998517,14.085838199996942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,13.249138699997275,14.134664799999882,11.548972499997035,None,,,10.771014599999035,11.548972499997035,,,10.746081599998433,11.524424100000033,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,None,11.548972499997035,13.054145399997651,0,left,,1,2025.2.4,,,,,11.530237799997849,13.23608239999885,11.537703666665282,12.100095699999656,2,0,2026-07-31_15:45:32.946811,2,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,16.623060999998415,17.637911699999677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,16.631521899998916,17.700956299999234,14.915375299999141,None,,,14.134664799999882,14.915375299999141,,,14.124110599997948,14.893249499997182,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,None,14.915375299999141,16.414474599998357,1,right,,1,2025.2.4,,,,,14.898832399998355,16.622982499997306,14.906871166666194,15.40149559999918,3,0,2026-07-31_15:45:36.310461,3,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,20.15369709999868,21.199628099999245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-07-31_15h45.20.972,,TSRlearn_localizer-concepts,2026-07-31 15h45.22.197704 +0200,,,,,,20.162656399999833,21.266144799999893,18.463674199996603,None,,,17.700956299999234,18.463674199996603,,,17.675815200000216,18.4474369999989,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,None,18.463674199996603,19.96283819999735,0,right,,1,2025.2.4,,,,,18.451809199999843,20.153617899999517,18.461430466664993,19.096886899998935,4,0,2026-07-31_15:45:39.876752,4,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
