ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.duration,key_resp.keys,key_resp.rt,key_resp.started,key_resp_prc.duration,key_resp_prc.keys,key_resp_prc.rt,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.duration,trials.key_resp.keys,trials.key_resp.rt,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.duration,trials_practice.key_resp_prc.keys,trials_practice.key_resp_prc.rt,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,,,,60.16724088242566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,0.017236199986655265,0.017307600006461143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0814758000196889,r,3.557811999984551,0.5299535999656655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,,,,60.16724088242566,,,,,,,,,,,,0.06208120001247153,,,,,,0.047010699985548854,4.230893799976911,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1177836999995634,r,1.2714103999896906,4.74508149997564,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,,,,60.16724088242566,,,,,,,,,,,,,4.246020599966869,,,,,,,4.237329299969133,6.1465365999611095,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.11972349998541176,r,5.600157000008039,6.64533119997941,,,,,,,,,,,,,,,,,,,,,,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,,,,60.16724088242566,,,,,,,,,,,,,,6.178492699982598,,,,,,,,6.1622432000003755,12.37789609999163,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10981459997128695,r,0.7801728000049479,12.892371499969158,,,,,,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,,,,60.16724088242566,,,,,,,,,,,,,,,12.391841200005729,,,,,,,,,12.385650200012606,13.794792999979109,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,16.1297871999559,16.876725899986923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,16.141427499998827,16.92665089998627,14.659569699957501,60.16724088242566,,,13.887599400011823,14.659569699957501,,,13.84611019998556,14.627651599992532,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,14.659569699957501,,1,right,,3,,,2025.2.4,,,,,,14.643181599967647,16.12970889999997,,,,,14.658565433296221,15.225924199970905,0,0,2026-08-08_12:54:07.169176,0,,,,,,,,,,,,,,None,,0,0,0,0,anchor,ancre,Anker,
,,0.89,19.193274999968708,20.09301609999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,19.207125599961728,20.142760299961083,17.707186199957505,60.16724088242566,,,16.92665089998627,17.707186199957505,,,16.910382299975026,17.67733139998745,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,17.707186199957505,19.207125599961728,1,left,,3,,,2025.2.4,,,,,,17.687375299981795,19.19321979995584,,,,,17.691364566624785,18.44066769996425,1,0,2026-08-08_12:54:10.208227,1,,,,,,,,,,,,,,None,,1,1,0,1,ant,fourmi,Ameise,
,,0.85,22.40843660000246,23.257726199983153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,22.42254189995583,23.308249599998817,20.922756499960087,60.16724088242566,,,20.142760299961083,20.922756499960087,,,20.131492399959825,20.893131999997422,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1419393999967724,r,1.1382132000289857,20.922756499960087,22.42254189995583,0,left,,3,,,2025.2.4,,,,,,20.915880499989726,22.408385599963367,,,,,20.92380813329558,21.88118809997104,2,0,2026-08-08_12:54:13.424337,2,,,,,,,,,,,,,0.1419393999967724,r,1.1382132000289857,2,2,0,2,horse,cheval,Pferd,
,,1.01,25.574028600007296,26.590468499984127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,25.58817999996245,26.660512499976903,24.072250199969858,60.16724088242566,,,23.308249599998817,24.072250199969858,,,23.291504099965096,24.05859829997644,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,24.072250199969858,25.571645299962256,1,right,,3,,,2025.2.4,,,,,,24.064511300006416,25.573982700007036,,,,,24.072577266666727,24.57194699998945,3,0,2026-08-08_12:54:16.589826,3,,,,,,,,,,,,,,None,,3,3,0,3,bus,bus,Bus,
,,1.04,29.10694299999159,30.15701409999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_12h53.50.844,,TSRlearn_localizer-concepts,2026-08-08 12h53.53.296918 +0200,,,,,,29.12108760001138,30.223062000004575,27.420568600005936,60.16724088242566,,,26.660512499976903,27.420568600005936,,,26.63282319996506,27.39660099998582,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,27.420568600005936,28.920842299994547,0,right,,3,,,2025.2.4,,,,,,27.400632600008976,29.106887899979483,,,,,27.410918766636556,28.037786500004586,4,0,2026-08-08_12:54:19.942089,4,,,,,,,,,,,,,,None,,4,4,0,4,face,visage,Gesicht,
