ITI_length,ITI_prc.started,ITI_prc.stopped,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,correct_response,date,expName,expStart,expVersion,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image_prc.started,image_prc.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,psychopyVersion,settings.started,settings.stopped,sound_pres_prc.started,sound_pres_prc.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,,,,59.95423093359705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2025.2.4,0.03735260001849383,0.03742790000978857,,,,,,,,,,,,,,,,,
,,,0.11172919999808073,r,50.6672438000096,0.5440157999983057,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,,,,59.95423093359705,,,,,,0.07738000003155321,,,,,,0.06924270000308752,51.329714000050444,,,,,,,,,,,,,,,,,3,2025.2.4,,,,,,,,,,,,,,,,,,,
,,,,,,,0.1301876000361517,r,0.7505857999785803,51.84445460001007,,,,,,,,,,,,,,,,,,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,,,,59.95423093359705,,,,,,,51.34430960001191,,,,,,,51.334813399997074,52.729739500035066,,,,,,,,,,,,,,,3,2025.2.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.1499811999965459,r,2.6223484000074677,53.243834000022616,,,,,,,,,,,,,,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,,,,59.95423093359705,,,,,,,,52.75933680002345,,,,,,,,52.747670600016136,56.02887770003872,,,,,,,,,,,,,3,2025.2.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.1620705999666825,r,0.46077870001317933,56.542448799998965,,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,,,,59.95423093359705,,,,,,,,,56.05839200003538,,,,,,,,,56.03735759999836,57.17826060001971,,,,,,,,,,,3,2025.2.4,,,,,,,,,,,,,,,,,,,
0.75,59.51102500001434,60.25986099999864,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,59.52510780002922,60.29407580004772,58.02510170004098,59.95423093359705,57.246319100027904,58.02510170004098,57.222176900017075,57.994953600049485,anchor.jpg,,,,,,,,,,,,,,,,,,,None,58.02510170004098,59.52510780002922,1,right,,3,2025.2.4,,,58.01086000003852,59.51098240003921,58.025802333381336,58.59190729999682,0,0,2026-08-08_20:01:19.095351,0,None,0,0,0,0,anchor,ancre,Anker,
0.89,62.543605700018816,63.44236899999669,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,62.55762210005196,63.4928708000225,61.057948800036684,59.95423093359705,60.29407580004772,61.057948800036684,60.28309070004616,61.043293500028085,ant.jpg,,,,,,,,,,,,,,,,,,,None,61.057948800036684,62.55762210005196,1,left,,3,2025.2.4,,,61.05149220000021,62.543512400006875,61.057862366669966,61.790879200038034,1,0,2026-08-08_20:01:22.143107,1,None,1,1,0,1,ant,fourmi,Ameise,
0.85,65.97552279999945,66.82523990003392,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,65.98966720001772,66.87547280004947,64.25709310005186,59.95423093359705,63.4928708000225,64.25709310005186,63.4705585000338,64.24308929999825,axe.jpg,,,,,,,,,,,,,,,,,,,None,64.25709310005186,65.75662300002296,0,left,,3,2025.2.4,,,64.24707959999796,65.97547060000943,64.25732176669796,65.20673680002801,2,0,2026-08-08_20:01:25.341902,2,None,2,2,0,2,horse,cheval,Pferd,
1.01,69.14156080002431,70.15742340002907,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,69.15734470001189,70.20770130003802,67.65556570002809,59.95423093359705,66.87547280004947,67.65556570002809,66.85601869999664,67.62557430000743,bus.jpg,,,,,,,,,,,,,,,,,,,None,67.65556570002809,69.15734470001189,1,right,,3,2025.2.4,,,67.63474510004744,69.14151550002862,67.6396552667177,68.13929439999629,3,0,2026-08-08_20:01:28.724504,3,None,3,3,0,3,bus,bus,Bus,
1.04,72.67346110002836,73.72338330000639,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h00.20.341,TSRlearn_localizer-concepts,2026-08-08 20h00.21.885124 +0200,,72.68737930001225,73.77350920002209,70.98747390002245,59.95423093359705,70.20770130003802,70.98747390002245,70.19465280004079,70.95679340005154,ball.jpg,,,,,,,,,,,,,,,,,,,None,70.98747390002245,72.4878735000384,0,right,,3,2025.2.4,,,70.98185530002229,72.6734152000281,70.98820213334014,71.63808920001611,4,0,2026-08-08_20:01:32.056733,4,None,4,4,0,4,face,visage,Gesicht,
