ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross.stopped,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,0.028452200000174344,0.03508739999961108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.13083780003944412,r,3.0784355999785475,0.543194499972742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,0.07535969995660707,,,,,,0.057758199982345104,3.765456599998288,,,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.10167479998199269,r,0.019032300042454153,4.280317800003104,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,3.779810899985023,,,,,,,3.770646899996791,4.415941899991594,,,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.13180339999962598,r,0.5661972000380047,4.931039999995846,,,,,,,,,,,,,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,,4.512884299969301,,,,,,,,4.487041499989573,4.983772600011434,,,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17416240001330152,r,0.3987061000079848,5.498053299961612,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,,,4.997178699995857,,,,,,,,,4.991428799985442,5.517051699978765,,,,,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,7.819290599960368,8.57036039995728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,7.83390689996304,8.620635700004641,6.332590700010769,60.03925365539914,,,5.568115999980364,6.332590700010769,,,5.552305899967905,6.31829279998783,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,6.332590700010769,7.83390689996304,1,right,,3,,,2025.2.4,,,,,,6.324665099964477,7.819247199979145,,,,,6.332615366675115,6.899463200010359,0,0,2026-08-08_20:29:05.878233,0,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,10.873520299966913,11.77347469999222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,10.887554699962493,11.82351399998879,9.385487399995327,60.03925365539914,,,8.620635700004641,9.385487399995327,,,8.596468199975789,9.371051599970087,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,9.385487399995327,10.887554699962493,1,left,,3,,,2025.2.4,,,,,,9.379771100007929,10.873472800012678,,,,,9.385460166671935,10.11960849998286,1,0,2026-08-08_20:29:08.930753,1,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,14.276751699973829,15.126610399980564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,14.290850199991837,15.160335499967914,12.588974000012968,60.03925365539914,,,11.82351399998879,12.588974000012968,,,11.799374299996998,12.575358900008723,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,12.588974000012968,14.09042349999072,0,left,,3,,,2025.2.4,,,,,,12.578758399991784,14.276702400005888,,,,,12.589427366623811,13.539904600009322,2,0,2026-08-08_20:29:12.133631,2,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,17.41252730000997,18.430360199999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,17.426953199959826,18.480705699999817,15.925852899963502,60.03925365539914,,,15.160335499967914,15.925852899963502,,,15.151025299972389,15.911582399974577,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,15.925852899963502,17.426953199959826,1,right,,3,,,2025.2.4,,,,,,15.916553899995051,17.41248459997587,,,,,15.92587166664113,16.4259087999817,3,0,2026-08-08_20:29:15.470453,3,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,20.94944180001039,22.001233899965882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,20.963724899978843,22.050745699962135,19.24591669999063,60.03925365539914,,,18.480705699999817,19.24591669999063,,,18.45857529999921,19.23228299996117,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,19.24591669999063,20.747359799977858,0,right,,3,,,2025.2.4,,,,,,19.23617109999759,20.949398099968676,,,,,19.246059066678086,19.87946699996246,4,0,2026-08-08_20:29:18.790823,4,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
,,0.99,24.303325099986978,25.303817700012587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,24.31749350001337,25.33730989997275,22.815920699969865,60.03925365539914,,,22.050745699962135,22.815920699969865,,,22.029231900000013,22.801404999976512,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,22.815920699969865,24.31749350001337,1,right,,3,,,2025.2.4,,,,,,22.807884000008926,24.303278299979866,,,,,22.815986966659935,23.483093999966513,5,0,2026-08-08_20:29:22.360863,5,,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,27.589773599989712,28.390261899970938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,27.603990099974908,28.440896199957933,26.10256579995621,60.03925365539914,,,25.33730989997275,26.10256579995621,,,25.326708999986295,26.087877199985087,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,26.10256579995621,27.603990099974908,1,left,,3,,,2025.2.4,,,,,,26.090995599981397,27.589718899980653,,,,,26.102466266664365,26.986934899992775,6,0,2026-08-08_20:29:25.647427,6,,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,30.69328109995695,31.476812199980486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,30.7076601999579,31.5272369000013,29.206104999990202,60.03925365539914,,,28.440896199957933,29.206104999990202,,,28.417678500001784,29.19245679996675,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,29.206104999990202,30.7076601999579,1,right,,3,,,2025.2.4,,,,,,29.196640599984676,30.693217499996535,,,,,29.206332966630967,29.706591799971648,7,0,2026-08-08_20:29:28.751013,7,,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,33.9798579000053,35.21453749999637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,33.99412970000412,35.264354399987496,32.29227519995766,60.03925365539914,,,31.5272369000013,32.29227519995766,,,31.507146099989768,32.27828009997029,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,32.29227519995766,33.793556299991906,0,right,,3,,,2025.2.4,,,,,,32.28254389995709,33.97981200000504,,,,,32.29248016665612,32.86030539998319,8,0,2026-08-08_20:29:31.837354,8,,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,37.51623489998747,38.61818910000147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,37.53091679996578,38.66782219999004,36.02937199996086,60.03925365539914,,,35.264354399987496,36.02937199996086,,,35.24275909998687,36.01502290001372,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,36.02937199996086,37.53091679996578,1,left,,3,,,2025.2.4,,,,,,36.017165799974464,37.51619269995717,,,,,36.029471166668614,36.61402929999167,9,0,2026-08-08_20:29:35.574471,9,,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,40.91999309998937,42.171095600002445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,40.93428310001036,42.30132649996085,39.43269159999909,60.03925365539914,,,38.66782219999004,39.43269159999909,,,38.648552099999506,39.4181883999845,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,39.43269159999909,40.93428310001036,1,left,,3,,,2025.2.4,,,,,,39.42020960000809,40.91994509997312,,,,,39.432790666647875,40.15026620001299,10,0,2026-08-08_20:29:38.977939,10,,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,0.10589370003435761,r,1.7104202999616973,42.68606189999264,,,,,,,,,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,,,,42.30132649996085,,,,,,,,,,,,42.28066539997235,44.50762079999549,,,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061364300025161356,r,0.07048370002303272,45.0219717999571,,,,,,,,,,2026-08-08_20h28.59.015,,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,,,,,,,,60.03925365539914,,,,,,,,,,,,,,,,,44.537047099962365,,,,,,,,,,,,,44.51877119997516,45.15882710000733,,,,,,,,,,,,3,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.67770050000399,48.745485199964605,1.06,,,1,48.752892999968026,48.752940299978945,,,book,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,6,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,46.19017319998238,47.691582300001755,47.691582300001755,48.79341390001355,,,,60.03925365539914,45.42461909999838,46.19017319998238,,,45.40119309996953,46.17612729995744,,,book\book_06.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,46.19017319998238,,,,,None,,3,,,2025.2.4,,,1,46.179614699969534,47.67763519997243,,,None,None,46.19017216662566,47.074273800011724,,,0,0,2026-08-08_20:29:45.734736,0,1,localizer,,None,,None,0,0,0,0,,,,,,book,,Buch,
51.03080269997008,51.798030200006906,0.76,,,1,51.79809339996427,51.798127999994904,,,car,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,6,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,49.5431883999845,51.04500509996433,51.04500509996433,51.83071479998762,,,,60.03925365539914,48.79341390001355,49.5431883999845,,,48.77378260000842,49.52847419999307,,,car\car_06.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,49.5431883999845,,,,,None,,3,,,2025.2.4,,,1,49.53176759998314,51.030735999986064,,,None,None,49.54305256664908,50.4941030999762,,,1,0,2026-08-08_20:29:49.103531,1,2,localizer,,None,,None,1,1,0,1,,,,,,car,,Auto,
54.06661899999017,55.05128319998039,0.98,,,1,55.051349699962884,55.05138540000189,,,dress,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,5,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,52.579693700012285,54.08096339995973,54.08096339995973,55.08454409998376,,,,60.03925365539914,51.83071479998762,52.579693700012285,,,51.81314039998688,52.565596500004176,,,dress\dress_05.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,52.579693700012285,,,,,None,,3,,,2025.2.4,,,1,52.56859699997585,54.06655429996317,,,None,None,52.579853866660656,53.53129439998884,,,2,0,2026-08-08_20:29:52.140832,2,3,localizer,,None,,None,2,2,0,2,,,,,,dress,,Kleid,
57.337742700008675,58.15454979997594,0.81,,,1,58.15461929998128,58.15465609997045,,,door,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,7,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,55.849863999988884,57.351459999976214,57.351459999976214,58.18868689995725,,,,60.03925365539914,55.08454409998376,55.849863999988884,,,55.07298009999795,55.83614759996999,,,door\door_07.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,55.849863999988884,,,,,None,,3,,,2025.2.4,,,1,55.839342699968256,57.33766789996298,,,None,None,55.8500483666469,56.66698290000204,,,3,0,2026-08-08_20:29:55.394661,3,4,localizer,,None,,None,3,3,0,3,,,,,,door,,Tür,
60.44119879999198,61.441673499997705,1,,,1,61.44173859996954,61.44177440000931,,,car,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,5,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,58.953321899985895,60.45620929996949,60.45620929996949,61.474449799978174,,,,60.03925365539914,58.18868689995725,58.953321899985895,,,58.167224499979056,58.939667999977246,,,car\car_05.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,58.953321899985895,,,,,None,,3,,,2025.2.4,,,1,58.942872899991926,60.44111489999341,,,None,None,58.9538607666657,59.90771699999459,,,4,0,2026-08-08_20:29:58.498804,4,5,localizer,,None,,None,4,4,0,4,,,,,,car,,Auto,
63.72648349998053,64.67834549996769,0.94,,,1,64.67841409996618,64.6784508000128,,,ball,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,None,2026-08-08_20h28.59.015,6,TSRlearn_localizer-concepts,2026-08-08 20h29.00.336696 +0200,,62.23988740000641,63.74104629998328,63.74104629998328,64.71089829999255,,,,60.03925365539914,61.474449799978174,62.23988740000641,,,61.463064300012775,62.22555380000267,,,ball\ball_06.png,,,,,,,,,,,,,,,,,,,,,,,0,0,1,None,62.23988740000641,,,,,None,,3,,,2025.2.4,,,1,62.22872959997039,63.72641989996191,,,None,None,62.239815366632925,63.007037799980026,,,5,0,2026-08-08_20:30:01.784567,5,6,localizer,,None,,None,5,5,0,5,,,,,,ball,,Ball,
