promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	resp_3.keys	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_img2.stopped	info_example_6.stopped	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retry_loop.resp_3.rt	retry_loop.resp_3.duration	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	info_example_2.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	yes_txt_3.stopped	no_txt_3.stopped	polygon_9.stopped	resp_3.stopped	info_example_7.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
																																											0.005974599975161254	0.006050499971024692																																																																																																																																																																																																															3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																													0.020318299997597933	0.03797760000452399	3.0204201000160538	6.835903299972415	r	3.8141470999689773	None																																																																																																																																																																																																								3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																				6.846346499980427	6.852196599997114	9.852464199997485	10.218405699997675	r	0.3579211000469513	None																																																																																																																																																																																																	3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																											10.226841400028206	10.23450339998817	13.233663399994839	13.333973400003742	r	0.08975749998353422	None																																																																																																																																																																																										3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																		13.343608100025449	13.350113300024532	16.349330500001088	16.649725699971896	r	0.2967212999938056	None																																																																																																																																																																																			3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																									16.6553054000251	16.665782600000966	19.665181000018492	20.148494600027334	r	0.4666573000140488	None																																																																																																																																																																												3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																20.220095099997707	20.23142339999322	23.164067399979103	23.897205499990378	r	0.7325875000096858	None																																																																																																																																																																					3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
																																																																																							23.903700500028208	23.91348809999181	24.89684629999101	25.08031889999984	r	0.17691320000449196	None																																																																																																																																																														3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
stimuli/practice_images/anchor.jpg	stimuli/practice_images/cow.jpg	stimuli/practice_images/bread.jpg	stimuli/practice_images/plane.jpg	right	left	center	right	0	0	0	r	13.067972100048792	None															0	0	0	0										25.296624900016468																																																					25.2311760999728	25.296624900016468	25.296624900016468	25.296624900016468	25.296624900016468	25.296624900016468	0.15087249997304752	25.296624900016468	38.42645089997677	r	13.067972100048792	None	38.551533800025936	38.60890019999351	38.60890019999351	38.60890019999351	38.60890019999351	38.60890019999351	39.55989189998945																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
stimuli/practice_images/cow.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/banana.jpg	stimuli/practice_images/glasses.jpg	left	right	center	left	1	1	0	b	0.38490989996353164	None															0	1	1	1										39.70923889998812																																																					39.683834000024945	39.70923889998812	39.70923889998812	39.70923889998812	39.70923889998812	39.70923889998812	0.12395629996899515	39.70923889998812	40.19259089999832	b	0.38490989996353164	None	40.31609859998571	40.34179849998327	40.34179849998327	40.34179849998327	40.34179849998327	40.34179849998327	41.292128600005526																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
stimuli/practice_images/ant.jpg	stimuli/practice_images/basket.jpg	stimuli/practice_images/axe.jpg	stimuli/practice_images/duck.jpg	center	left	right	up	2	2	0	g	0.37910760001977906	None															0	2	2	2										41.458685000019614																																																					41.432899500010535	41.458685000019614	41.458685000019614	41.458685000019614	41.458685000019614	41.458685000019614	0.14079130004392937	41.458685000019614	41.941899300029036	g	0.37910760001977906	None	42.06098299997393	42.09125709999353	42.09125709999353	42.09125709999353	42.09125709999353	42.09125709999353	43.07476889999816																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
stimuli/practice_images/basket.jpg	stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/bread.jpg	center	right	left	up	3	3	0	r	0.42815569997765124	None															0	3	3	3										43.224183599988464																																																					43.20584329997655	43.224183599988464	43.224183599988464	43.224183599988464	43.224183599988464	43.224183599988464	0.1310883999685757	43.224183599988464	43.75822999997763	r	0.42815569997765124	None	43.88442219997523	43.90737560001435	43.90737560001435	43.90737560001435	43.90737560001435	43.90737560001435	44.890724700002465																																																																																																																																											3	2026-08-10_14h03.23.150	TSRlearn_main-blocks		2025.1.1	59.97505038455771	2026-08-10 14h03.30.173272 +0200	
