promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	resp_3.keys	resp_2.keys	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_img2.stopped	info_example_6.stopped	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	yes_txt_3.stopped	no_txt_3.stopped	polygon_9.stopped	resp_3.stopped	info_example_7.stopped	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	retry_loop.resp_3.rt	retry_loop.resp_3.duration	info_example_2.started	text_feedback.stopped	info_example_2.stopped	text_continue.stopped	resp_2.stopped	info_example.stopped	opt_2_prc.stopped	opt_3_prc.stopped	opt_4_prc.stopped	opt_5_prc.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
																																												0.010407700028736144	0.010478699987288564																																																																																																																																																																																																																								3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																														0.024013500020373613	0.041930300008971244	3.025019599997904	7.107217299984768	r	4.066693999979179	None																																																																																																																																																																																																																	3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																					7.116630000004079	7.12329379998846	10.12247900001239	10.705903800029773	r	0.5736881999764591	None																																																																																																																																																																																																										3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																												10.712847499991767	10.722208700026385	13.72138260002248	13.905117399990559	r	0.17054469999857247	None																																																																																																																																																																																																			3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																			13.91416390001541	13.921190500026569	16.920380799972918	17.35374980000779	r	0.42589429998770356	None																																																																																																																																																																																												3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																										17.358567800023593	17.370031800004654	20.369194799975958	20.486224699998274	r	0.10539839998818934	None																																																																																																																																																																																					3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																	20.561709699977655	20.569098000007216	23.501843200006988	23.90173089999007	r	0.3888374999514781	None																																																																																																																																																																														3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
																																																																																								23.908122799999546	23.91799769998761	24.901180999993812	25.38475040002959	r	0.4721610000124201	None																																																																																																																																																																							3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
stimuli/practice_images/anchor.jpg	stimuli/practice_images/cow.jpg	stimuli/practice_images/bread.jpg	stimuli/practice_images/plane.jpg	right	left	center	right	0	0	0	r	0.4721610000124201	0.33825139998225495															0	0	0	0											25.567625700030476																																																					25.53433180000866	25.567625700030476	25.567625700030476	25.567625700030476	25.567625700030476	25.567625700030476	0.1496091999579221	25.567625700030476	25.718410499976017	r	0.4721610000124201	0.33825139998225495	25.83086019998882	25.867536999983713	25.867536999983713	25.867536999983713	25.867536999983713	25.867536999983713	26.81750840001041																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
stimuli/practice_images/cow.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/banana.jpg	stimuli/practice_images/glasses.jpg	left	right	center	left	1	1	0	r	1.038657799945213	None															0	1	1	1											26.950397400010843																																																					26.92935980000766	26.950397400010843	26.950397400010843	26.950397400010843	26.950397400010843	26.950397400010843	0.11191009997855872	26.950397400010843	28.101007300021593	r	1.038657799945213	None	28.21614520001458	28.2502669999958	28.2502669999958	28.2502669999958	28.2502669999958	28.2502669999958	29.20032020000508																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
stimuli/practice_images/ant.jpg	stimuli/practice_images/basket.jpg	stimuli/practice_images/axe.jpg	stimuli/practice_images/duck.jpg	center	left	right	up	2	2	0	g	0.2667990000336431	None															0	2	2	2											29.333053899987135																																																					29.303757600020617	29.333053899987135	29.333053899987135	29.333053899987135	29.333053899987135	29.333053899987135	0.10352270002476871	29.333053899987135	29.70019639999373	g	0.2667990000336431	None	29.809842900023796	29.832835600012913	29.832835600012913	29.832835600012913	29.832835600012913	29.832835600012913	30.816183099988848																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
stimuli/practice_images/basket.jpg	stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/bread.jpg	center	right	left	up	3	3	0	g	1.8143477000412531	0.11383079999359325															0	3	3	3											30.94924310001079																																																					30.91950530000031	30.94924310001079	30.94924310001079	30.94924310001079	30.94924310001079	30.94924310001079	0.10343550000106916	30.94924310001079	32.86585240002023	g	1.8143477000412531	0.11383079999359325	32.97287040000083	32.99854719999712	32.99854719999712	32.99854719999712	32.99854719999712	32.99854719999712	33.98189599998295																																																																																																																																																				3	2026-08-10_14h12.47.694	TSRlearn_main-blocks		2025.1.1	60.06543528698807	2026-08-10 14h13.08.887483 +0200	
