promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	condFileLearning	condFileRetrieval	n_routes_block	block	learningSeq	runIndexWithinSeq	currPosInSeq	promptConcept	correctConcept	dist01Concept	dist02Concept	dist01_diff	dist02_diff	pairTargetPosInSeq	buf1Concept	buf1Exemplar	buf1File	buf2Concept	buf2Exemplar	buf2File	buf13Concept	buf13Exemplar	buf13File	buf14Concept	buf14Exemplar	buf14File	promptTrigNumber	correctTrigNumber	dist01TrigNumber	dist02TrigNumber	key_resp.keys	key_resp.rt	key_resp.duration	miniblockWithinRun	coupleIndexWithinRoute	is_yes	routeIndexWithinBlock	seqOfRoute	retrIm1Trig	retrIm2Trig	continue_button_18.keys	resp.keys	resp_4.keys	resp_4.rt	resp_4.duration	resp.rt	resp.duration	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	Block.thisRepN	Block.thisTrialN	Block.thisN	Block.thisIndex	miniblocks.thisRepN	miniblocks.thisTrialN	miniblocks.thisN	miniblocks.thisIndex	learning_trials.thisRepN	learning_trials.thisTrialN	learning_trials.thisN	learning_trials.thisIndex	retrieval_trials.thisRepN	retrieval_trials.thisTrialN	retrieval_trials.thisN	retrieval_trials.thisIndex	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_img2.stopped	info_example_6.stopped	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retry_loop.resp_3.rt	retry_loop.resp_3.duration	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	mask_img1.stopped	info_example_4.stopped	info_example_2.started	instructions_07.started	instructions_part7.started	continue_button_13.started	instructions_07.stopped	continue_button_13.keys	continue_button_13.rt	continue_button_13.duration	reset_rows_to_select.started	reset_rows_to_select.stopped	set_learning_rows.started	set_learning_rows.stopped	show_context.started	scene_image.started	show_context.stopped	choice_display.started	scene_image_2.started	polygon_4.started	prompt.started	dist_01.started	dist_02.started	correct.started	chooseNowText.started	key_resp.started	choice_display.stopped	learning_trials.key_resp.keys	learning_trials.key_resp.rt	learning_trials.key_resp.duration	feedback.started	scene_image_3.started	polygon_8.started	prompt_2.started	dist_01_2.started	dist_02_2.started	correct_2.started	feedback.stopped	too_slow_routine.started	too_slow_routine.stopped	rest_period.started	fix_cross.started	fix_cross.stopped	rest_period.stopped	instruction_retr_start.started	instruction_now_retr.started	continue_button_18.started	instruction_now_retr.stopped	continue_button_18.stopped	instruction_retr_start.stopped	miniblocks.continue_button_18.keys	set_retrieval_rows.started	set_retrieval_rows.stopped	retr_ITI.started	fix_cross_retrbegin_2.started	fix_cross_retrbegin_2.stopped	retr_ITI.stopped	first_image.started	image_1.started	image_1.stopped	first_image.stopped	mask_retr1.started	mask_img1_2.started	mask_retr1.stopped	second_image.started	image_2.started	image_2.stopped	second_image.stopped	mask_retr2.started	mask_img2_2.started	mask_img2_2.stopped	mask_retr2.stopped	reflection_period_retr.started	fix_cross_reflretr.started	fix_cross_reflretr.stopped	reflection_period_retr.stopped	retr_response_order.started	polygon_6.started	yes_txt.started	no_txt.started	chooseNowText_2.started	resp.started	retr_response_order.stopped	retrieval_trials.resp.keys	too_slow_routine_1.started	tooSlowtext_4.started	tooSlowtext_4.stopped	too_slow_routine_1.stopped	retr_response_distance.started	chooseNowText_3.started	opt_2.started	opt_3.started	opt_4.started	opt_5.started	resp_4.started	retr_response_distance.stopped	retrieval_trials.resp_4.keys	retrieval_trials.resp_4.rt	retrieval_trials.resp_4.duration	too_slow_routine_2.started	too_slow_routine_2.stopped	mask_img1_2.stopped	chooseNowText_3.stopped	opt_2.stopped	opt_3.stopped	opt_4.stopped	opt_5.stopped	resp_4.stopped	tooSlowtext_2.started	tooSlowtext_2.stopped	yes_txt.stopped	no_txt.stopped	resp.stopped	retrieval_trials.resp.rt	retrieval_trials.resp.duration	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
																																																																																																									0.021956400014460087	0.022036500042304397																																																																																																																																																																																																																																																																																																																										3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																											0.036200700036715716	0.05222060001688078	3.0357770000118762	3.519585400004871	r	0.469387499964796	None																																																																																																																																																																																																																																																																																																																			3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																		3.530550100025721	3.5351014000480063	6.534741400042549	7.102035500050988	r	0.5587712000124156	None																																																																																																																																																																																																																																																																																																												3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																									7.113094300031662	7.134868900000583	10.116917800041847	10.617257700010668	r	0.4855833000037819	None																																																																																																																																																																																																																																																																																																					3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																10.628903400036506	10.650643500033766	13.632917600043584	19.963733200042043	r	6.329315600043628	None																																																																																																																																																																																																																																																																																														3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																							19.97070360003272	19.97987820004346	22.962857400008943	24.47982490004506	r	1.4998727000202052	None																																																																																																																																																																																																																																																																																							3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																														24.490397400048096	24.49522010004148	27.495004900032654	28.12839880003594	r	0.6280427000019699	None																																																																																																																																																																																																																																																																																3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																					28.25009890005458	28.260942000022624	29.127600000007078	30.444727000023704	r	1.3098795000114478	None																																																																																																																																																																																																																																																																									3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/anchor.jpg	stimuli/practice_images/cow.jpg	stimuli/practice_images/bread.jpg	stimuli/practice_images/plane.jpg	right	left	center	right	0	0	0	g	1.804243500053417	None																																																														0	0	0	0																									30.726818200026173																																																					30.63941970001906	30.726818200026173	30.726818200026173	30.726818200026173	30.726818200026173	30.726818200026173	0.19478069996694103	30.726818200026173	32.57716470002197	g	1.804243500053417	None	32.732527300016955	32.79269930004375	32.79269930004375	32.79269930004375	32.79269930004375	32.79269930004375	33.777053500001784																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/cow.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/banana.jpg	stimuli/practice_images/glasses.jpg	left	right	center	left	1	1	0	r	0.33147969999117777	None																																																														0	1	1	1																									33.95919150003465																																																					33.931431900011376	33.95919150003465	33.95919150003465	33.95919150003465	33.95919150003465	33.95919150003465	0.15440439997473732	33.95919150003465	34.39326130005065	r	0.33147969999117777	None	34.50721790001262	34.525200900039636	34.525200900039636	34.525200900039636	34.525200900039636	34.525200900039636	35.50995289999992																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/ant.jpg	stimuli/practice_images/basket.jpg	stimuli/practice_images/axe.jpg	stimuli/practice_images/duck.jpg	center	left	right	up	2	2	0	g	0.5781913999817334	0.09529790002852678																																																														0	2	2	2																									35.70901360001881																																																					35.68618499999866	35.70901360001881	35.70901360001881	35.70901360001881	35.70901360001881	35.70901360001881	0.17624940001405776	35.70901360001881	36.392572900047526	g	0.5781913999817334	0.09529790002852678	36.52372740005376	36.54093500005547	36.54093500005547	36.54093500005547	36.54093500005547	36.54093500005547	37.524881300050765																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/basket.jpg	stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/bread.jpg	center	right	left	up	3	3	0	b	1.2922885000007227	0.10919819999253377																																																														0	3	3	3																									37.67455550003797																																																					37.652488200052176	37.67455550003797	37.67455550003797	37.67455550003797	37.67455550003797	37.67455550003797	0.12762550002662465	37.67455550003797	39.07601240003714	b	1.2922885000007227	0.10919819999253377	39.248488800018094	39.27429970004596	39.27429970004596	39.27429970004596	39.27429970004596	39.27429970004596	40.25787880003918																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/anchor.jpg	stimuli/practice_images/desk.jpg	left	center	right	left	4	4	0	g	0.30766859999857843	None																																																														0	4	4	4																									40.43970020004781																																																					40.418005700048525	40.43970020004781	40.43970020004781	40.43970020004781	40.43970020004781	40.43970020004781	0.160139599989634	40.43970020004781	40.8576506000245	g	0.30766859999857843	None	40.969316600007005	40.98956630000612	40.98956630000612	40.98956630000612	40.98956630000612	40.98956630000612	41.973759400018025																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
stimuli/practice_images/belt.jpg	stimuli/practice_images/bird.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/crocodile.jpg	right	left	center	right	5	5	0	r	0.4890657000360079	None																																																														0	5	5	5																									42.13993870001286																																																					42.11374440003419	42.13993870001286	42.13993870001286	42.13993870001286	42.13993870001286	42.13993870001286	0.14000499999383464	42.13993870001286	42.72352950001368	r	0.4890657000360079	None	42.86492280004313	42.889676100050565	42.889676100050565	42.889676100050565	42.889676100050565	42.889676100050565	43.87334410002222																																																																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																															43.87743320001755	43.88918530003866	43.88918530003866	48.905130100029055	48.905130100029055	48.87248160003219																																																																																																																																																																																																																																																3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																					48.88387430005241	48.905130100029055	51.88760390004609	52.68765010003699	g	0.7900945000001229	None																																																																																																																																																																																																																																									3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																												52.703108600049745	52.72062000003643	55.702247700013686	55.719069300044794	g	0.0010215999791398644	None																																																																																																																																																																																																																																		3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																																			55.73023080005078	55.73472890001722	58.718685600033496	58.8689797000261	g	0.1445522999856621	None																																																																																																																																																																																																																											3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																																										58.87840970000252	58.88439960003598	61.884089300001506	62.2010508000385	g	0.30458669998915866	None																																																																																																																																																																																																																				3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																																																	62.20788490003906	62.2167291000369	65.21588990004966	65.38239860004978	g	0.15503659995738417	None																																																																																																																																																																																																													3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
																																																																																																																																																																																																																								65.3874111000332	65.39866020000773	68.38145090005128	68.39904180000303	g	0.005930099985562265	None																																																																																																																																																																																																						3	2026-08-10_16h16.16.829	TSRlearn_main-blocks		2025.1.1	60.11237407400941	2026-08-10 16h16.21.986656 +0200	
