promptFile	correctFile	dist_01File	dist_02File	correct_pos	dist01_pos	dist02_pos	correct_ans	thisN	thisTrialN	thisRepN	key_resp_2.keys	key_resp_2.rt	key_resp_2.duration	trial_type	img_first	img_second	img_third	opt_left	opt_right	correct_side	correct_key	distance_correct	image_dur_retr	fix_dur_retr	ImageExamplePath	iti_dur_retr	reflection_win_dur	condFileLearning	condFileRetrieval	n_routes_block	block	learningSeq	runIndexWithinSeq	currPosInSeq	promptConcept	correctConcept	dist01Concept	dist02Concept	dist01_diff	dist02_diff	pairTargetPosInSeq	buf1Concept	buf1Exemplar	buf1File	buf2Concept	buf2Exemplar	buf2File	buf13Concept	buf13Exemplar	buf13File	buf14Concept	buf14Exemplar	buf14File	promptTrigNumber	correctTrigNumber	dist01TrigNumber	dist02TrigNumber	key_resp.keys	key_resp.rt	key_resp.duration	miniblockWithinRun	coupleIndexWithinRoute	is_yes	routeIndexWithinBlock	seqOfRoute	retrIm1Trig	retrIm2Trig	continue_button_18.keys	continue_button_18.rt	continue_button_18.duration	resp.keys	resp.rt	resp.duration	resp_4.keys	resp_4.rt	resp_4.duration	practice_learning.thisRepN	practice_learning.thisTrialN	practice_learning.thisN	practice_learning.thisIndex	retrieval_prc_loop.thisRepN	retrieval_prc_loop.thisTrialN	retrieval_prc_loop.thisN	retrieval_prc_loop.thisIndex	retry_loop.thisRepN	retry_loop.thisTrialN	retry_loop.thisN	retry_loop.thisIndex	Block.thisRepN	Block.thisTrialN	Block.thisN	Block.thisIndex	miniblocks.thisRepN	miniblocks.thisTrialN	miniblocks.thisN	miniblocks.thisIndex	learning_trials.thisRepN	learning_trials.thisTrialN	learning_trials.thisN	learning_trials.thisIndex	retrieval_trials.thisRepN	retrieval_trials.thisTrialN	retrieval_trials.thisN	retrieval_trials.thisIndex	thisRow.t	notes	startup_settings.started	startup_settings.stopped	instructions_01.started	instruction_part1.started	continue_button.started	instructions_01.stopped	continue_button.keys	continue_button.rt	continue_button.duration	instructions_02.started	instruction_part2.started	continue_button_3.started	instructions_02.stopped	continue_button_3.keys	continue_button_3.rt	continue_button_3.duration	instructions_03.started	instruction_part3.started	continue_button_4.started	instructions_03.stopped	continue_button_4.keys	continue_button_4.rt	continue_button_4.duration	instructions_04.started	instruction_part4.started	continue_button_5.started	instructions_04.stopped	continue_button_5.keys	continue_button_5.rt	continue_button_5.duration	instructions_05.started	instruction_part5.started	continue_button_6.started	instructions_05.stopped	continue_button_6.keys	continue_button_6.rt	continue_button_6.duration	instructions_06.started	instruction_part6.started	continue_button_7.started	instructions_06.stopped	continue_button_7.keys	continue_button_7.rt	continue_button_7.duration	instructions_replay_break.started	instructions_part16.started	continue_button_22.started	instructions_replay_break.stopped	continue_button_22.keys	continue_button_22.rt	continue_button_22.duration	practice_choice_display.started	polygon.started	prompt_prc.started	dist_01_prc.started	dist_02_prc.started	correct_prc.started	key_resp_2.started	instructions_choose_2.started	practice_choice_display.stopped	practice_learning.key_resp_2.keys	practice_learning.key_resp_2.rt	practice_learning.key_resp_2.duration	practice_feedback.started	polygon_7.started	prompt_prc_2.started	dist_01_prc_2.started	dist_02_prc_2.started	correct_prc_2.started	practice_feedback.stopped	rest_practice.started	fix_cross_2.started	rest_instruction.started	fix_cross_2.stopped	rest_instruction.stopped	rest_practice.stopped	instruction_retrieval_trials.started	instruction_part7.started	continue_button_8.started	instruction_retrieval_trials.stopped	continue_button_8.keys	continue_button_8.rt	continue_button_8.duration	instruction_retrievalques1.started	instruction_part10.started	continue_button_10.started	instruction_retrievalques1.stopped	continue_button_10.keys	continue_button_10.rt	continue_button_10.duration	instruction_retrievalques1_02.started	instruction_part13.started	continue_button_19.started	instruction_retrievalques1_02.stopped	continue_button_19.keys	continue_button_19.rt	continue_button_19.duration	instruction_retrievalques2.started	instruction_part11.started	continue_button_11.started	instruction_retrievalques2.stopped	continue_button_11.keys	continue_button_11.rt	continue_button_11.duration	instruction_retrievalques2_02.started	instruction_part14.started	continue_button_20.started	instruction_retrievalques2_02.stopped	continue_button_20.keys	continue_button_20.rt	continue_button_20.duration	instruction_refl_period.started	instruction_part12.started	continue_button_14.started	instruction_refl_period.stopped	continue_button_14.keys	continue_button_14.rt	continue_button_14.duration	instruction_refl_period_02.started	instruction_part15.started	continue_button_21.started	instruction_refl_period_02.stopped	continue_button_21.keys	continue_button_21.rt	continue_button_21.duration	retrieval_backg_info.started	instruction_info.started	continue_button_15.started	retrieval_backg_info.stopped	continue_button_15.keys	continue_button_15.rt	continue_button_15.duration	instruction_practice_type1.started	instruction_part8.started	continue_button_9.started	instruction_practice_type1.stopped	continue_button_9.keys	continue_button_9.rt	continue_button_9.duration	retrieval_type1_practice.started	fix_cross_retrbegin.started	fix_cross_retrbegin.stopped	retrieval_type1_practice.stopped	first_image_prc.started	image_1_prc.started	info_example_3.started	image_1_prc.stopped	info_example_3.stopped	first_image_prc.stopped	mask_retr1_prc.started	mask_img1.started	info_example_4.started	mask_img1.stopped	info_example_4.stopped	mask_retr1_prc.stopped	second_image_prc.started	image_2_prc.started	info_example_5.started	image_2_prc.stopped	info_example_5.stopped	second_image_prc.stopped	mask_retr2_prc.started	mask_img2.started	info_example_6.started	mask_retr2_prc.stopped	reflection_period.started	fix_cross_reflretr_2.started	text.started	fix_cross_reflretr_2.stopped	text.stopped	reflection_period.stopped	retr_response_order_prc.started	yes_txt_3.started	no_txt_3.started	polygon_9.started	resp_3.started	info_example_7.started	text_question_order.started	retr_response_order_prc.stopped	retry_loop.resp_3.keys	retry_loop.resp_3.rt	retry_loop.resp_3.duration	retr_response_distance_prc.started	resp_2.started	info_example.started	opt_2_prc.started	opt_3_prc.started	opt_4_prc.started	opt_5_prc.started	text_question_retrieval.started	retr_response_distance_prc.stopped	retry_loop.resp_2.keys	retry_loop.resp_2.rt	retry_loop.resp_2.duration	retr_response_feedback.started	text_feedback.started	text_continue.started	continue_button_16.started	retr_response_feedback.stopped	retry_loop.continue_button_16.keys	retry_loop.continue_button_16.rt	retry_loop.continue_button_16.duration	mask_img2.stopped	info_example_6.stopped	info_example_2.started	instructions_07.started	instructions_part7.started	continue_button_13.started	instructions_07.stopped	continue_button_13.keys	continue_button_13.rt	continue_button_13.duration	reset_rows_to_select.started	reset_rows_to_select.stopped	set_learning_rows.started	set_learning_rows.stopped	show_context.started	scene_image.started	show_context.stopped	choice_display.started	scene_image_2.started	polygon_4.started	prompt.started	dist_01.started	dist_02.started	correct.started	chooseNowText.started	key_resp.started	choice_display.stopped	learning_trials.key_resp.keys	learning_trials.key_resp.rt	learning_trials.key_resp.duration	feedback.started	scene_image_3.started	polygon_8.started	prompt_2.started	dist_01_2.started	dist_02_2.started	correct_2.started	feedback.stopped	too_slow_routine.started	too_slow_routine.stopped	rest_period.started	fix_cross.started	fix_cross.stopped	rest_period.stopped	instruction_retr_start.started	instruction_now_retr.started	continue_button_18.started	instruction_retr_start.stopped	miniblocks.continue_button_18.keys	miniblocks.continue_button_18.rt	miniblocks.continue_button_18.duration	set_retrieval_rows.started	set_retrieval_rows.stopped	retr_ITI.started	fix_cross_retrbegin_2.started	fix_cross_retrbegin_2.stopped	retr_ITI.stopped	first_image.started	image_1.started	image_1.stopped	first_image.stopped	mask_retr1.started	mask_img1_2.started	mask_img1_2.stopped	mask_retr1.stopped	second_image.started	image_2.started	image_2.stopped	second_image.stopped	mask_retr2.started	mask_img2_2.started	mask_img2_2.stopped	mask_retr2.stopped	reflection_period_retr.started	fix_cross_reflretr.started	fix_cross_reflretr.stopped	reflection_period_retr.stopped	retr_response_order.started	polygon_6.started	yes_txt.started	no_txt.started	chooseNowText_2.started	resp.started	yes_txt.stopped	no_txt.stopped	resp.stopped	retr_response_order.stopped	retrieval_trials.resp.keys	retrieval_trials.resp.rt	retrieval_trials.resp.duration	too_slow_routine_1.started	too_slow_routine_1.stopped	retr_response_distance.started	chooseNowText_3.started	opt_2.started	opt_3.started	opt_4.started	opt_5.started	resp_4.started	retr_response_distance.stopped	retrieval_trials.resp_4.keys	retrieval_trials.resp_4.rt	retrieval_trials.resp_4.duration	too_slow_routine_2.started	too_slow_routine_2.stopped	tooSlowtext_4.started	tooSlowtext_4.stopped	chooseNowText_3.stopped	opt_2.stopped	opt_3.stopped	opt_4.stopped	opt_5.stopped	resp_4.stopped	tooSlowtext_2.started	tooSlowtext_2.stopped	participant_ID	date	expName	expVersion	psychopyVersion	frameRate	expStart	
																																																																																																											0.013639200013130903	0.013709200080484152																																																																																																																																																																																																																																																																																																																												3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																													0.030061500030569732	0.04281949996948242	3.025877800071612	3.2276588000822812	r	0.19545100000686944	None																																																																																																																																																																																																																																																																																																																					3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																				3.235979499993846	3.2419579999987036	6.241375399986282	6.277218900038861	r	0.03204190009273589	None																																																																																																																																																																																																																																																																																																														3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																											6.284046099986881	6.291005100007169	9.290306400042027	9.32564779999666	r	0.031395599944517016	None																																																																																																																																																																																																																																																																																																							3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																		9.33410710003227	9.340028000064194	12.339476500055753	12.560079000075348	r	0.2099576999899	None																																																																																																																																																																																																																																																																																																3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																									12.56592099997215	12.572933900053613	15.571942600072362	15.774222300038673	r	0.190204199985601	None																																																																																																																																																																																																																																																																																									3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																15.781887900084257	15.788244200055487	18.787147300085053	18.806068900041282	r	0.011487799929454923	None																																																																																																																																																																																																																																																																																		3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																							18.812036400078796	18.820386999985203	19.819965500035323	19.972278999979608	r	0.1469875000184402	None																																																																																																																																																																																																																																																																											3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/anchor.jpg	stimuli/practice_images/cow.jpg	stimuli/practice_images/bread.jpg	stimuli/practice_images/plane.jpg	right	left	center	right	0	0	0	r	0.1469875000184402	0.2829454999882728																																																																0	0	0	0																									20.12210939999204																																																					20.080145800020546	20.12210939999204	20.12210939999204	20.12210939999204	20.12210939999204	20.12210939999204	0.10788440005853772	20.12210939999204	20.290272500016727	r	0.1469875000184402	0.2829454999882728	20.397723500034772	20.437194099999033	20.437194099999033	20.437194099999033	20.437194099999033	20.437194099999033	21.422047600033693																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/cow.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/banana.jpg	stimuli/practice_images/glasses.jpg	left	right	center	left	1	1	0	b	0.2044304000446573	None																																																																0	1	1	1																									21.54708410007879																																																					21.520581200020388	21.54708410007879	21.54708410007879	21.54708410007879	21.54708410007879	21.54708410007879	0.09857479995116591	21.54708410007879	21.85552980005741	b	0.2044304000446573	None	21.948765799985267	21.97927020001225	21.97927020001225	21.97927020001225	21.97927020001225	21.97927020001225	22.955453400034457																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/ant.jpg	stimuli/practice_images/basket.jpg	stimuli/practice_images/axe.jpg	stimuli/practice_images/duck.jpg	center	left	right	up	2	2	0	g	0.15429760003462434	None																																																																0	2	2	2																									23.078852100064978																																																					23.057321300031617	23.078852100064978	23.078852100064978	23.078852100064978	23.078852100064978	23.078852100064978	0.10191920003853738	23.078852100064978	23.33828949998133	g	0.15429760003462434	None	23.434806799981743	23.462724199984223	23.462724199984223	23.462724199984223	23.462724199984223	23.462724199984223	24.43793810007628																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/basket.jpg	stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/bread.jpg	center	right	left	up	3	3	0	r	0.17614960006903857	None																																																																0	3	3	3																									24.561734699993394																																																					24.541102300048806	24.561734699993394	24.561734699993394	24.561734699993394	24.561734699993394	24.561734699993394	0.10321889992337674	24.561734699993394	24.83791820006445	r	0.17614960006903857	None	24.93638520000968	24.96191309997812	24.96191309997812	24.96191309997812	24.96191309997812	24.96191309997812	25.937610000022687																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/bed.jpg	stimuli/practice_images/belt.jpg	stimuli/practice_images/anchor.jpg	stimuli/practice_images/desk.jpg	left	center	right	left	4	4	0	g	0.46235869999509305	None																																																																0	4	4	4																									26.060898400028236																																																					26.031817200011574	26.060898400028236	26.060898400028236	26.060898400028236	26.060898400028236	26.060898400028236	0.09428229997865856	26.060898400028236	26.605618600035086	g	0.46235869999509305	None	26.704319900018163	26.72831620008219	26.72831620008219	26.72831620008219	26.72831620008219	26.72831620008219	27.720942600048147																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
stimuli/practice_images/belt.jpg	stimuli/practice_images/bird.jpg	stimuli/practice_images/ant.jpg	stimuli/practice_images/crocodile.jpg	right	left	center	right	5	5	0	r	1.3869679999770597	None																																																																0	5	5	5																									27.844626900041476																																																					27.82528780004941	27.844626900041476	27.844626900041476	27.844626900041476	27.844626900041476	27.844626900041476	0.10442370001692325	27.844626900041476	29.336194499977864	r	1.3869679999770597	None	29.433366100070998	29.461648000054993	29.461648000054993	29.461648000054993	29.461648000054993	29.461648000054993	30.452579300035723																																																																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																	30.454990300000645	30.46674800000619	30.46674800000619	35.48182650003582	35.48182650003582	35.4671648000367																																																																																																																																																																																																																																																		3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																							35.473836600081995	35.48182650003582	38.481175699969754	38.80036230001133	g	0.31536040001083165	None																																																																																																																																																																																																																																											3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																														38.80606820003595	38.81410970003344	41.81363109999802	42.01563580008224	g	0.19342949998099357	None																																																																																																																																																																																																																																				3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																																					42.02549520006869	42.04623219999485	45.02884380007163	45.180820400011726	g	0.151637899922207	None																																																																																																																																																																																																																													3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																																												45.18735959997866	45.19564360007644	48.194251500070095	48.647169600008056	g	0.4510680999374017	None																																																																																																																																																																																																																						3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																																																			48.653265699977055	48.6611653000582	51.66021080000792	51.87931460002437	g	0.21773490007035434	None																																																																																																																																																																																																															3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																																																										51.883835799992085	51.89351800002623	54.89213110005949	55.061749599990435	g	0.16263179993256927	None																																																																																																																																																																																																								3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
																																																																																																																																																																																																																																	55.07033989997581	55.07581599999685	58.07452210003976	58.54422320006415	g	0.45975170005112886	None																																																																																																																																																																																																	3	2026-08-11_13h21.49.352	TSRlearn_main-blocks		2025.1.1	60.09535931468728	2026-08-11 13h21.56.128489 +0200	
