ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_7.duration,continue_button_7.keys,continue_button_7.rt,continue_button_7.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_end.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_end.started,instructions_end.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2025.2.4,0.008372299955226481,0.00848369998857379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.1201608000556007,r,13.557648199959658,0.5210963999852538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,0.053815499995835125,,,,,,0.03450629999861121,14.203867899952456,,,,,,,,,,,,,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1015499000204727,r,0.024395499960519373,14.716152700013481,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,14.232530399924144,,,,,,,14.212187899975106,14.852376799914055,,,,,,,,,,,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.0734463999979198,r,0.694479399942793,15.36628750001546,,,,,,,,,,,,,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,,14.882284499937668,,,,,,,,14.866930400021374,16.13512509991415,,,,,,,,,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08543149998877198,r,1.1982397999381647,16.64912459999323,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,,,16.149162099929526,,,,,,,,,16.143077099928632,16.653100399998948,,,,,,,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,18.984610899933614,19.736812599934638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,18.998623399995267,19.787543199956417,17.498363099992275,59.89139294377662,,,16.718847599928267,17.498363099992275,,,16.707669000024907,17.468879899941385,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,17.498363099992275,18.998623399995267,1,right,,4,,,2025.2.4,,,,,,17.4879374000011,18.98456939996686,,,,,17.49882153329284,18.065237000002526,0,0,2026-08-11_22:39:56.784315,0,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,22.051585600012913,22.94904650002718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,22.064209999982268,22.998848099960014,20.54834989993833,59.89139294377662,,,19.787543199956417,20.54834989993833,,,19.77086839999538,20.533629899960943,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,20.54834989993833,22.047384399920702,1,left,,4,,,2025.2.4,,,,,,20.543183899950236,22.051512999925762,,,,,20.548122566604675,21.28119289991446,1,0,2026-08-11_22:39:59.853011,1,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,25.482161700027063,26.33163039991632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,25.496181300026365,26.381135599920526,23.763742799987085,59.89139294377662,,,22.998848099960014,23.763742799987085,,,22.978150899987668,23.751371199963614,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,23.763742799987085,25.263327199965715,0,left,,4,,,2025.2.4,,,,,,23.755657200003043,25.482116299914196,,,,,23.764434266664708,24.713128799921833,2,0,2026-08-11_22:40:03.064316,2,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,28.647592999972403,29.66398960002698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,28.66198999993503,29.713588299928233,27.16172909992747,59.89139294377662,,,26.381135599920526,27.16172909992747,,,26.371177799999714,27.13174430001527,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,27.16172909992747,28.66198999993503,1,right,,4,,,2025.2.4,,,,,,27.153361100004986,28.64754949999042,,,,,27.16244553332993,27.662335900007747,3,0,2026-08-11_22:40:06.446603,3,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,32.19718030001968,33.246160999988206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,32.21092009998392,33.295592300011776,30.49438129994087,59.89139294377662,,,29.713588299928233,30.49438129994087,,,29.695095299975947,30.464233699953184,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,30.49438129994087,31.994081299984828,0,right,,4,,,2025.2.4,,,,,,30.480220000026748,32.197121499921195,,,,,30.49498613330846,31.128175899968483,4,0,2026-08-11_22:40:09.779056,4,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
,,0.99,35.56243449996691,36.56166020000819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,35.57674429996405,36.61107109999284,34.07660399994347,59.89139294377662,,,33.295592300011776,34.07660399994347,,,33.27688259992283,34.04664720001165,banana.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,34.07660399994347,35.57674429996405,1,right,,4,,,2025.2.4,,,,,,34.064562499988824,35.56239049998112,,,,,34.077195633326966,34.727052100002766,5,0,2026-08-11_22:40:13.361060,5,,,,,,,,,,,None,5,5,0,5,banana,banane,Banane,
,,0.79,38.86236419994384,39.66088530002162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,38.875477899913676,39.709905799943954,37.39196249993984,59.89139294377662,,,36.61107109999284,37.39196249993984,,,36.590691999997944,37.362070499919355,glasses.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,37.39196249993984,,1,left,,4,,,2025.2.4,,,,,,37.37774679996073,38.86231889994815,,,,,37.392715933274786,38.259021000005305,6,0,2026-08-11_22:40:16.676539,6,,,,,,,,,,,None,6,6,0,6,glasses,lunettes,Brille,
,,0.77,41.97627689992078,42.76039349997882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,41.99103169993032,42.809374399948865,40.491131699993275,59.89139294377662,,,39.709905799943954,40.491131699993275,,,39.70359679998364,40.46192739997059,basket.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,40.491131699993275,41.99103169993032,1,right,,4,,,2025.2.4,,,,,,40.47731300001033,41.97623349993955,,,,,40.49195553328221,40.99117109994404,7,0,2026-08-11_22:40:19.775373,7,,,,,,,,,,,None,7,7,0,7,basket,panier,Korb,
,,1.23,45.29364379995968,46.526172399986535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,45.30739219998941,46.591737599927,43.57385489996523,59.89139294377662,,,42.809374399948865,43.57385489996523,,,42.791269399924204,43.55925569997635,bear.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,43.57385489996523,45.073835099930875,0,right,,4,,,2025.2.4,,,,,,43.56388039991725,45.29358549998142,,,,,43.573760166593516,44.140595000004396,8,0,2026-08-11_22:40:22.874842,8,,,,,,,,,,,None,8,8,0,8,milk,lait,Milch,
,,1.1,48.85811669996474,49.95789389999118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,48.873183400020935,50.02447659999598,47.37253649998456,59.89139294377662,,,46.591737599927,47.37253649998456,,,46.571061499998905,47.34156319999602,belt.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,47.37253649998456,48.873183400020935,1,left,,4,,,2025.2.4,,,,,,47.35452389996499,48.858064199914224,,,,,47.35571876663404,47.95589280000422,9,0,2026-08-11_22:40:26.657205,9,,,,,,,,,,,None,9,9,0,9,belt,ceinture,Gürtel,
,,1.25,52.289677900029346,53.53971189993899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,52.30425079993438,53.6701022000052,50.788251899997704,59.89139294377662,,,50.02447659999598,50.788251899997704,,,50.00156000000425,50.77432849991601,bike.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,50.788251899997704,52.28757669997867,1,left,,4,,,2025.2.4,,,,,,50.77799049997702,52.28963319992181,,,,,50.788705266608545,51.505146999959834,10,0,2026-08-11_22:40:30.089944,10,,,,,,,,,,,None,10,10,0,10,bicycle,vélo,Fahrrad,
,,,,,,,,,,,,,,,,,,,,,,,,,0.16817419999279082,r,15.203867000062019,54.054465299937874,,,,,,,,,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,,,,53.6701022000052,,,,,,,,,,,,53.666305999970064,69.43556489993352,,,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1349729000357911,r,15.874708999996074,69.94861459999811,,,,,,,,,,2026-08-11_22h39.38.819,,TSRlearn_localizer-concepts,2026-08-11 22h39.40.072993 +0200,,,,,,,,59.89139294377662,,,,,,,,,,,,,,,,,69.46493559994269,,,,,,,,,,,,,69.44861389999278,70.06883070000913,,,,,,,,,,,,4,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
