ITI.started,ITI.stopped,ITI_length,ITI_prc.started,ITI_prc.stopped,block,break_3.started,break_3.stopped,breaks_instruction.started,breaks_instruction.stopped,concept,concept_num,concept_num_word,continue_button.duration,continue_button.keys,continue_button.rt,continue_button.started,continue_button_3.duration,continue_button_3.keys,continue_button_3.rt,continue_button_3.started,continue_button_4.duration,continue_button_4.keys,continue_button_4.rt,continue_button_4.started,continue_button_6.duration,continue_button_6.keys,continue_button_6.rt,continue_button_6.started,continue_button_8.duration,continue_button_8.keys,continue_button_8.rt,continue_button_8.started,continue_button_9.duration,continue_button_9.keys,continue_button_9.rt,continue_button_9.started,continue_button_break.duration,continue_button_break.keys,continue_button_break.rt,continue_button_break.started,correct_response,date,exemplar_num,expName,expStart,expVersion,fix_cross.started,fix_cross_2.started,fix_cross_2.stopped,fix_cross_2_prc.started,fix_cross_2_prc.stopped,fix_cross_prc.started,frameRate,image.started,image.stopped,image_prc.started,image_prc.stopped,image_pres.started,image_pres.stopped,image_pres_prc.started,image_pres_prc.stopped,image_shown,instruction_continuebreak.started,instruction_part1.started,instruction_part2.started,instruction_part3.started,instruction_part4.started,instruction_startexp.started,instruction_startexp_2.started,instructions.started,instructions.stopped,instructions_02.started,instructions_02.stopped,instructions_03.started,instructions_03.stopped,instructions_04.started,instructions_04.stopped,instructions_startexp.started,instructions_startexp.stopped,instructions_startexp_02.started,instructions_startexp_02.stopped,is_buffer,is_mismatch,is_prompt,key_resp.keys,key_resp.started,key_resp_prc.keys,key_resp_prc.started,key_resp_prc.stopped,match_idx,nonmatch_pres_side,notes,participant,progress_bar_breaks.started,progress_bar_breaks.stopped,psychopyVersion,settings.started,settings.stopped,show_word,sound_pres.started,sound_pres.stopped,sound_pres_prc.started,sound_pres_prc.stopped,source_sequence,source_sequence_position,spoken_word.started,spoken_word.stopped,spoken_word_prc.started,spoken_word_prc.stopped,thisN,thisRepN,thisRow.t,thisTrialN,trial_in_block,trial_type,trials.continue_button_break.duration,trials.continue_button_break.keys,trials.continue_button_break.rt,trials.key_resp.keys,trials.thisIndex,trials.thisN,trials.thisRepN,trials.thisTrialN,trials_practice.key_resp_prc.keys,trials_practice.thisIndex,trials_practice.thisN,trials_practice.thisRepN,trials_practice.thisTrialN,word_shown_english,word_shown_french,word_shown_german,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2025.2.4,0.016643999999985226,0.016703500000005533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.07754069999998592,r,0.9674482000000353,0.5172132000000147,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,0.06305509999998549,,,,,,0.04748010000002978,1.5697079000000258,,,,,,,,,,,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.08141080000001466,r,0.017870500000015,2.084369000000038,,,,,,,,,,,,,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,1.5963007000000289,,,,,,,1.5762743000000228,2.18798240000001,,,,,,,,,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.1500543999999877,r,0.20530309999998053,2.7004559000000086,,,,,,,,,,,,,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,,2.2122838999999885,,,,,,,,2.202924600000017,3.0690671000000407,,,,,,,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1445027000000323,r,0.7661918999999671,3.5822345999999925,,,,,,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,,,,59.38778322033375,,,,,,,,,,,,,,3.0954702000000225,,,,,,,,,3.0787604000000215,3.6187674000000243,,,,,,,,,,,,,,,,5,,,2025.2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,6.033926199999996,6.785378299999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,6.048797100000002,6.830887800000028,4.562463600000001,59.38778322033375,,,3.766938400000015,4.562463600000001,,,3.7382696000000237,4.518322899999987,anchor.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,4.562463600000001,,1,right,,5,,,2025.2.4,,,,,,4.553799700000013,6.033876000000021,,,,,4.565658500000029,5.131442300000003,0,0,2026-08-25_09:42:59.853550,0,,,,,,,,,,,None,0,0,0,0,anchor,ancre,Anker,
,,0.89,9.081436100000019,9.98127850000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,9.097780999999998,10.030024300000036,7.627639999999985,59.38778322033375,,,6.830887800000028,7.627639999999985,,,6.813658900000007,7.566910699999994,ant.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,7.627639999999985,,1,left,,5,,,2025.2.4,,,,,,7.60935360000002,9.08139090000003,,,,,7.614742899999999,8.365872599999989,1,0,2026-08-25_09:43:02.917499,1,,,,,,,,,,,None,1,1,0,1,ant,fourmi,Ameise,
,,0.85,12.498944700000038,13.36529790000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,12.512044400000036,13.41224440000002,10.809400700000026,59.38778322033375,,,10.030024300000036,10.809400700000026,,,10.014952200000039,10.78204930000004,axe.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,10.809400700000026,12.31218849999999,0,left,,5,,,2025.2.4,,,,,,10.790183899999988,12.49889730000001,,,,,10.796521866666653,11.7452131,2,0,2026-08-25_09:43:06.116636,2,,,,,,,,,,,None,2,2,0,2,horse,cheval,Pferd,
,,1.01,15.679198600000007,16.699373700000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,15.694626599999992,16.7616855,14.177228200000002,59.38778322033375,,,13.41224440000002,14.177228200000002,,,13.394822200000021,14.164036100000033,bus.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,14.177228200000002,15.67693330000003,1,right,,5,,,2025.2.4,,,,,,14.167713100000014,15.679153299999996,,,,,14.178487866666687,15.028172299999994,3,0,2026-08-25_09:43:09.498856,3,,,,,,,,,,,None,3,3,0,3,bus,bus,Bus,
,,1.04,19.245514300000025,20.29599410000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,2026-08-25_09h42.54.722,,TSRlearn_localizer-concepts,2026-08-25 09h42.56.102357 +0200,,,,,19.2606988,20.342348200000004,17.540872400000012,59.38778322033375,,,16.7616855,17.540872400000012,,,16.74028609999999,17.51391940000002,ball.jpg,,,,,,,,,,,,,,,,,,,,,,,,,None,17.540872400000012,19.042235600000026,0,right,,5,,,2025.2.4,,,,,,17.518554600000016,19.245467099999985,,,,,17.528124566666705,18.16244599999999,4,0,2026-08-25_09:43:12.848297,4,,,,,,,,,,,None,4,4,0,4,face,visage,Gesicht,
